HitNo,Date,Genre,Bibl,URL,Hit,Sentiment
8132,1726,Gebrauchsliteratur,"Weigel, Christoph: Gründliche Erzehlung der Merckwürdigsten Welt-Geschichten Aller Zeiten. Nürnberg, 1726.",http://gei-digital.gei.de/viewer/image/PPN774205865/574,"NAI. gereichte, daß das heilige Land wo Christus der Welt Heiland sichtbarlich auf der Welt gewandelt und gelitten hätte nunmehro so lange Zeit in der Unglauhigen Gewalt wäre: so munterte gedachter Pabst ¶ C. 1054 auf den beeden Kirch Versammlungen ßu Placen und Clermont die gesamte Abendländ ische Christenheit zu einem grossen Heer-Zug die Saracenen auf durch welchen z dieselben aus dem heiligen Lande vertreiben sollten.",1
7097,1792,Gebrauchsliteratur,"Nitsch, Paul Friedrich Achat: Kurzer Entwurf der alten Geographie; Zweyte Auflage. Leipzig, 1792.",http://gei-digital.gei.de/viewer/image/PPN746443978/190,"Vormals hieß auch dieses Land vom Flusse ^jbcrus, Liberia oder Celtiberia, bey den Griechen und ältesten Italienern Hefperia (Abendland).",1
7099,1793,Gebrauchsliteratur,"Fröbing, Johann Christoph: Die Bürgerschule. [Bd. 3]; Bd. 3. Hannover, 1793.",http://gei-digital.gei.de/viewer/image/PPN747227578/157,"Diese Verwirrungen machten sich auswärtige Völker zu Nutze, und bestürmten das Reich eben so, als die Schwester desselben, das abendländ ische Reich, Lestürmt wurde.",1
8141,1800,Gebrauchsliteratur,"Remer, Julius August: Lehrbuch der algemeinen Geschichte für Akademien und Gymnasien. Halle, 1800.",http://gei-digital.gei.de/viewer/image/PPN774219904/346,Carl der Gr. setzte sich im Abendlande vergeblich dagegen.,1
8140,1800,Gebrauchsliteratur,"Remer, Julius August: Lehrbuch der algemeinen Geschichte für Akademien und Gymnasien. Halle, 1800.",http://gei-digital.gei.de/viewer/image/PPN774219904/269,"Ney dem Einbrüche der deutschen Nationen in das römische Reich verloren sich die wissenschaftlichen Kenntnisse aus dem Abendlande, und nur in Italien erhielten sich Ueberbleibsel davon, durch den Schutz des Königs Dieterich und seiner Minister.",1
7735,1806,Gebrauchsliteratur,"Pölitz, Karl Heinrich Ludwig: Die Weltgeschichte. [Theil 2]; Theil 2; Neue Ausgabe. Leipzig, 1806.",http://gei-digital.gei.de/viewer/image/PPN75238032X/418,Durch Karls deS Großen Eroberungen nm' das Exarchat in Rom für Byzanz verloren; itzt erkannte Nieephorus Karln (8oz) als rechtmäßigen römischen Kaiser des Abendlandes an.,1
8364,1807,Gebrauchsliteratur,"Woltmann, Johann Gottfried; Becker, Karl Friedrich: Die Weltgeschichte für die Jugend. [Theil 5]; Theil 5; 2., verb. Aufl. Berlin, 1807.",http://gei-digital.gei.de/viewer/image/PPN775149810/569,"hob es wieder auf, und es war gewiß nicht böser Wille, sondern die Ahndung, daß ein Staat, bet dem die getsiliche und weltliche Macht verbunden war, doch hatte seine ganze Gestalt aufgeben müssen, um in das Abendland, wo geistliche und weltliche Macht einen schöpferischen Kampf mit einander führten, etnzugreifen.",1
7499,1811,Gebrauchsliteratur,"Voigtel, Traugott Gotthilf; Remer, Julius August: Julius August Remer's Lehrbuch der allgemeinen Geschichte für Akademieen und Gymnasien. Halle, 1811.",http://gei-digital.gei.de/viewer/image/PPN751104515/284,Karl der Gr. setzte sich im Abendlande vergeblich dagegen.,1
7501,1811,Gebrauchsliteratur,"Voigtel, Traugott Gotthilf; Remer, Julius August: Julius August Remer's Lehrbuch der allgemeinen Geschichte für Akademieen und Gymnasien. Halle, 1811.",http://gei-digital.gei.de/viewer/image/PPN751104515/294,Zm neunten und zehnten Zahrh. findet man noch einige gute lateinische Prosaisten im Abendlande.,1
7505,1811,Gebrauchsliteratur,"Voigtel, Traugott Gotthilf; Remer, Julius August: Julius August Remer's Lehrbuch der allgemeinen Geschichte für Akademieen und Gymnasien. Halle, 1811.",http://gei-digital.gei.de/viewer/image/PPN751104515/324,"Die griechischen Kaiser hatten ihnen alle europäische Provinzen bis aufKonstaminopel weggenommen, Michael Paläologus eroberte 4261 auch diese Stadt, und Balduin starb im Abendlande..",1
7432,1812,Gebrauchsliteratur,"Brand, Jakob: Allgemeine Weltgeschichte zum Gebrauche öffentlicher Vorlesungen. Geschichte der zweiten Hälfte des Mittelalters; H. 6. Frankfurt am Main, 1812.",http://gei-digital.gei.de/viewer/image/PPN75100054X/112,"112 auch im Abendland""? erregten.",1
7543,1817,Gebrauchsliteratur,"Breyer, Carl Wilhelm Friedrich von: Lehrbuch der allgemeinen Geschichte. München, 1817.",http://gei-digital.gei.de/viewer/image/PPN751156973/346,"Allein der Hof von Constantinopel, dem die morgenlandische Herrschaft genügte, trat nicht nur das Abendland an Valentinianus ab, sondern machte auch die Ansprüche der leßtern gegen den Geheimschreiber Zo han-",1
7542,1817,Gebrauchsliteratur,"Breyer, Carl Wilhelm Friedrich von: Lehrbuch der allgemeinen Geschichte. München, 1817.",http://gei-digital.gei.de/viewer/image/PPN751156973/346,"Un^ ter diesem hatte der Ori'ent, auch nachdem Alarich sich gegen das Abendland gewendet hatte, durch Gothen, Isau, rier und andre Barbaren viel gelitten.",1
7568,1817,Gebrauchsliteratur,"Breyer, Carl Wilhelm Friedrich von: Lehrbuch der allgemeinen Geschichte. München, 1817.",http://gei-digital.gei.de/viewer/image/PPN751156973/492,"Unter ihnen selbst herrschte vielfache Uneinigkeit; bei deir Griechen aber, welche vorher die Hülfe des Abendlandes gesucht hatten, erzeugte die große Menge der herveiströmenden Abendländer Furcht und Argwohn; endlich große und mannigfaltige Gefahr drohte den letzter"" vonden Türken.",1
7540,1817,Gebrauchsliteratur,"Breyer, Carl Wilhelm Friedrich von: Lehrbuch der allgemeinen Geschichte. München, 1817.",http://gei-digital.gei.de/viewer/image/PPN751156973/336,Wider diese Nebenbuhler eilte Cousrantius II. aus einem Kriege gegen die Perser sogleich in das Abendland.,1
7574,1817,Gebrauchsliteratur,"Breyer, Carl Wilhelm Friedrich von: Lehrbuch der allgemeinen Geschichte. München, 1817.",http://gei-digital.gei.de/viewer/image/PPN751156973/545,Selbst das entfernte Abendland zitterte schon wahrend der Negierung Dctai's vor den Waffen der Mongolen.,1
7565,1817,Gebrauchsliteratur,"Breyer, Carl Wilhelm Friedrich von: Lehrbuch der allgemeinen Geschichte. München, 1817.",http://gei-digital.gei.de/viewer/image/PPN751156973/489,"Das ganze Abendland dürstete nach Rache an den Türken, welche solche Schmach über das Grab Christi brachten.",1
7555,1817,Gebrauchsliteratur,"Breyer, Carl Wilhelm Friedrich von: Lehrbuch der allgemeinen Geschichte. München, 1817.",http://gei-digital.gei.de/viewer/image/PPN751156973/394,"Freilich war das Christenthum, welches man in dieser Zei im Abendlande lehrte, mangelhaft, unvollkommen und nicht ohne heidnische Zusätze und mannigfaltige Entstellungen.",1
8053,1818,Gebrauchsliteratur,"Hold, Ernst: Die Weltgeschichte für die Jugend bis auf die neuesten Zeiten. Leipzig, 1818.",http://gei-digital.gei.de/viewer/image/PPN773898050/260,Dieses Unglück brachte das Abendland in unruhige Bewegung.,1
9525,1822,Gebrauchsliteratur,"Kohlrausch, Friedrich: Kurze Darstellung der deutschen Geschichte für Volksschulen. Elberfeld, 1822.",http://gei-digital.gei.de/viewer/image/PPN80537292X/45,Sie verloren sich wieder in den weiten Steppen von Sud-Rußland 17. Rom und das ganze Abendland fallen unter deutsche Herrschaft.,1
7623,1822,Gebrauchsliteratur,"Wiedemann, Georg Friedrich: Die allgemeine Menschen-Geschichte für die katholische Jugend. [Theil 2, Abth. 2]; Theil 2, Abth. 2. München, 1822.",http://gei-digital.gei.de/viewer/image/PPN751180378/59,"Von dieser nämlichen Gesinnung sey er geneigt dem Kaiser einen großen Beweis zu geben, wenn ihm beliebe, sich mit den Hunnen zu vereinigen, auf daß die Westgothen au§ Gallien und Spanien vertrieben, und in jenen Landen die Reichsgrenze wieder hergestellt werde."" -- Der kaiserliche Hof entdeckte die List, und schrieb allen barbarischen Fürsten im Abendlande, gegen die gemeinschaftlich drohende Gefahr ihre Kräfte mit den Römischen zu vereinigen; und diese versprachen insgesammt thätige Hülfe.",1
8035,1823,Gebrauchsliteratur,"Brand, Jakob: Erster Unterricht in der Weltgeschichte. Frankfurt a.M., 1823.",http://gei-digital.gei.de/viewer/image/PPN773896864/159,Mau brachte sogar mehrere dieser Kunstdenkmäler mit in das Abendland zurück. 6),1
7634,1824,Gebrauchsliteratur,"Schmitthenner, Friedrich: Die Geschichte der Deutschen. Herborn, 1824.",http://gei-digital.gei.de/viewer/image/PPN751710725/272,"Eben ist der menschliche Geist in die Mitte christlicher Weltanschauung getreten, die Warme des Glaubens fast zur Glurh der Schwärmerei fortgeschritren; da gehet der dumpfe Schreckensruf durch das Abendland: ein barbarisches Volk, die Seldschucken, habe das heilige Land erobert und die gläubigen Pilgrime seien den grausamste Mißhandlungen ausgesetzt.",1
7692,1825,Gebrauchsliteratur,"Wiedemann, Georg Friedrich: Die allgemeine Menschen-Geschichte für die katholische Jugend. [Theil 2, Abth. 4]; Theil 2, Abth. 4. München, 1825.",http://gei-digital.gei.de/viewer/image/PPN751723282/17,"- der morgenlandischen Christen für die Befreyung nicht genügten, und die entnervten Griechen binnen wenig Jahren selbst das halbe Reich verloren hatten; armer und einfacher, aber kräftiger und gläubiger sey das Abendland, und nur von dorther die Erlösung möglich.",1
7702,1825,Gebrauchsliteratur,"Wiedemann, Georg Friedrich: Die allgemeine Menschen-Geschichte für die katholische Jugend. [Theil 2, Abth. 4]; Theil 2, Abth. 4. München, 1825.",http://gei-digital.gei.de/viewer/image/PPN751723282/161,"Weder Verträge noch Bedingungen der Uebergabe achtend, drohte er schon Palästina die schrecklichste Verheerung, als das Abendland von neuem sich in Bewegung setzte, um den unglücklichen Mitchristen im gelobten Lande Hülfe zu bringen.",1
7699,1825,Gebrauchsliteratur,"Wiedemann, Georg Friedrich: Die allgemeine Menschen-Geschichte für die katholische Jugend. [Theil 2, Abth. 4]; Theil 2, Abth. 4. München, 1825.",http://gei-digital.gei.de/viewer/image/PPN751723282/97,"""Jetzt,"" sagte man, ""ist die Zeit gekommen, das veraltete Reich der Griechen, das alle Unternehmungen des Abendlandes durch Verrath und Tücke vereitelte, zu zerstören, und an feine Stelle ein jugendliches, kräftiges, christkatholisches zu gründen.",1
7614,1827,Gebrauchsliteratur,"Nösselt, Friedrich: Lehrbuch der Weltgeschichte für Töchterschulen und zum Privatunterricht heranwachsender Mädchen. [Theil 2]; Theil 2; 2., verb. und stark verm. Aufl. Breslau, 1827.",http://gei-digital.gei.de/viewer/image/PPN751163694/124,Wie viele Kunstfertigkeiten verdankte das Abendland nicht den Kreuzzügen?,1
7612,1827,Gebrauchsliteratur,"Nösselt, Friedrich: Lehrbuch der Weltgeschichte für Töchterschulen und zum Privatunterricht heranwachsender Mädchen. [Theil 2]; Theil 2; 2., verb. und stark verm. Aufl. Breslau, 1827.",http://gei-digital.gei.de/viewer/image/PPN751163694/94,"Und nun sah man in allen Landern des Abendlandes, am meisten in Frankreich und Italien, eine Thatigkeit, ein Durch - und Gegeneinanderlaufen, wie man es in einem gestörten Ameisenhaufen bemerkt.",1
8442,1830,Gebrauchsliteratur,"Melos, Johann Gottfried: Beschreibung des jüdischen Landes zur Zeit Jesu, in geographischer, bürgerlicher, religiöser, häuslicher und gelehrter Hinsicht; 2., nach dem Tode des Verf. umgearb. und verb. Aufl. Weimar, 1830.",http://gei-digital.gei.de/viewer/image/PPN77515055X/67,"So lauge die Araber Herrn der Stadt und des Landes waren, konnten die christlichen Pilger aus dem Abendland ungestört hierher reisen, und ihre Andacht verrichten; nachdem aber, seit dem Jahr 1079, die rohe kriegerische Horde der seldschuckischen Türken Stadt und Land besaß, mußten die Chri nicht darauf, und warfen immer mehr Feuer hinein, und so verbrannte dieser kostbare Tempel, dessen gänzlicher vonHerodes angefangener Umbau erst vor wenig Jahren vollendet worden war.",1
8527,1831,Gebrauchsliteratur,"Schacht, Theodor: Lehrbuch der Geographie alter und neuer Zeit. Mainz, 1831.",http://gei-digital.gei.de/viewer/image/PPN775845493/390,"Byzanz residirten, wobei die Griechen den Trost hatten, weder von Lateinern beherrscht, noch in der Völkerwanderung von Barbaren gleich dem Abendlande vernichtet zu werden.",1
7483,1833,Gebrauchsliteratur,"Herrmann, August Lebrecht; Schreibershofen, Maximilian von: Lehrbuch der allgemeinen Weltgeschichte für höhere Bildungsanstalten und Gymnasien. Meissen, 1833.",http://gei-digital.gei.de/viewer/image/PPN751100889/280,"Bald gab es keine öffentliche Sicherheit mehr; die Franken wurden schaarcnweise gemordet, was eine gefährliche Stimmung im Abendlande vorbereitete; die Walachen und Bulgaren machten sich frei, zuletzt trat Jsaac mit den Türken in ein Bündniß; der Haß wider ihn stieg immer höher, darum stieß ihn sein Bruder riss Al exius III. ohne Mühe vom Throne, ließ ihn blenden und einkerkern, um an seiner Statt zu regieren.",1
7478,1833,Gebrauchsliteratur,"Herrmann, August Lebrecht; Schreibershofen, Maximilian von: Lehrbuch der allgemeinen Weltgeschichte für höhere Bildungsanstalten und Gymnasien. Meissen, 1833.",http://gei-digital.gei.de/viewer/image/PPN751100889/171,"Rusinus merkte dessen Vorhaben, riech ihm nach dem Abendlande zu ziehen, siel aber durch einen Meuchelmörder, den ihm Stiiicho gedungen hatte.",1
7479,1833,Gebrauchsliteratur,"Herrmann, August Lebrecht; Schreibershofen, Maximilian von: Lehrbuch der allgemeinen Weltgeschichte für höhere Bildungsanstalten und Gymnasien. Meissen, 1833.",http://gei-digital.gei.de/viewer/image/PPN751100889/174,"Zwei Jahre ließ er den Thron unbesetzt, dann gestattete er, daß -- Anthemius von dem byzantinischen Kaiser Leo erwählt 72 == werde, denn noch immer gaben die Herrscher des Orients Ansprüche 5 auf das Abendland vor.",1
7418,1834,Gebrauchsliteratur,"Hempel, Carl Friedrich: Geschichte der Reformation; 3., sehr verm. u. bis in d. Jahr 1834 fortgef. Aufl. Leipzig, 1834.",http://gei-digital.gei.de/viewer/image/PPN750446471/122,"Der Kaiser und der Patriarch erboten sich endlich in der Bedrangniß nachzugeben, und selbst dem Papst eine gewisse Oberherrschaft zu bewilligen; aber die übrigen griechischen Christen verwarfen diesen demüthigenden Vergleich, und unter vielerlei Ausflüchten überließ das Abendland Constantinopel seinem Schicksale.",1
7417,1834,Gebrauchsliteratur,"Hempel, Carl Friedrich: Geschichte der Reformation; 3., sehr verm. u. bis in d. Jahr 1834 fortgef. Aufl. Leipzig, 1834.",http://gei-digital.gei.de/viewer/image/PPN750446471/122,"Da ein Theil den andern verdammte, und die griechischen Christen überdieß der römischen Kirche Herrschsucht und Sittenlosigkcit vorwarfen, so unterblieb leider die Hülfe aus dem Abendlande, als die Sarazenen Griechenland ängstigten.",1
7656,1834,Gebrauchsliteratur,"Schubart, Friedrich: Vorschule der Geschichte Europas. Berlin, 1834.",http://gei-digital.gei.de/viewer/image/PPN751717576/153,"Dagegen gaben allch keineswegs die damaligen Bischöfe in Rom selbst und öffentlich die Erklärung ab, wie der Patriarch von Byzanz, daß sie ihre Würde für die höchste in der ganzen christlichen Geistlichkeit hielten, sondern führten in ihren Unterschriften den Nahmen eines Knechtes der Knechte Gottes, bei welcher Demuth ihnen die Anerkennung des ganzen christlichen Abendlandes um so sicherer war, und so fingen sie in diesen Zeiten auch an, den Namen des heiligen Vaters zu führen.",1
7416,1834,Gebrauchsliteratur,"Hempel, Carl Friedrich: Geschichte der Reformation; 3., sehr verm. u. bis in d. Jahr 1834 fortgef. Aufl. Leipzig, 1834.",http://gei-digital.gei.de/viewer/image/PPN750446471/122,"Man hatte in dem Abendlande zu dem nicanischen Bekenntniß gesetzt: der heilige Geist gehe auch vom Sohne aus, was die Griechen verwarfen und man stritt mit der heftigsten Erbitterung über diesen, doch immer nur bildlichen Ausdruck.",1
8498,1835,Gebrauchsliteratur,"Jerrer, Georg Ludwig: Historisches Bilder-Buch für die denkende Jugend. Nürnberg, 1835.",http://gei-digital.gei.de/viewer/image/PPN775787809/107,Die Ansprüche auf ihre Mitgift gaben den scheinbar rechtlichen Grund zum Angriff auf das Abendland.,1
8501,1835,Gebrauchsliteratur,"Jerrer, Georg Ludwig: Historisches Bilder-Buch für die denkende Jugend. Nürnberg, 1835.",http://gei-digital.gei.de/viewer/image/PPN775787809/110,"Diesem Karl Martell verdankt Europa die Abwendung der Unterjochung der Saracenen, welche von Spanien aus (732) in Frankreich mit einem ungeheuren Schivarm einfielen, von Karl aber zwischen Tours und Poitiers so empfangen wurden, daß Frankreich und mit ibm das übrige Abendland vor ibnen gesichert war.",1
7727,1835,Gebrauchsliteratur,"Beck, Joseph: Lehrbuch der allgemeinen Geschichte für Schule und Haus. Lehrbuch der allgemeinen Geschichte für die unteren und mittleren Klassen höherer Unterrichtsanstalten; Cursus 1. Hannover, 1835.",http://gei-digital.gei.de/viewer/image/PPN752375318/107,Mit Schrecken und Unmuth erfüllte die Kunde hievon das Abendland.,1
8505,1835,Gebrauchsliteratur,"Jerrer, Georg Ludwig: Historisches Bilder-Buch für die denkende Jugend. Nürnberg, 1835.",http://gei-digital.gei.de/viewer/image/PPN775787809/136,"Mit diesem Untergang der christlichen Herrschaft in Palästina nabmen die Kreuzzüge, der verschiedentlich gemachten Bemühungen der Päpste uncrachtet, ein völliges Ende und die Christen erhielten bald Gelegenheit für ihre Existenz im Abendlande noch weit mehr besorgt zu seyn, als es vordem die Moslemin im Morgenlande Ursache gehabt hatten.",1
7680,1835,Gebrauchsliteratur,"Graff, Georg: Die Weltgeschichte. Mainz, 1835.",http://gei-digital.gei.de/viewer/image/PPN751718971/112,"Die einseitigen Anstrengungen des römischen Abendlandes zu ihrer Abwehr sind vergebens; m i t unwiderstehlicher Gewalt walzt sich die V ö l k e r b e w e g u n g nach Westen hin, und bringt hier dem schon lange in Auflösung begriffenen, zerrütteten Reiche seinen Unte r g a u g. 305. 48) Honorius bei den großen Ereignissen seiner Zeit unthätig, nur den sinnlichen Genüssen hingegeben.",1
8271,1836,Gebrauchsliteratur,"Bauer, Ludwig Amandus: Allgemeine Weltgeschichte für alle Stände. Mit einem Stahlstich; Bd. 2. Stuttgart, 1836.",http://gei-digital.gei.de/viewer/image/PPN774791233/9,Untergang des römischen Kaiserthums im Abendlande. (476.),1
8286,1836,Gebrauchsliteratur,"Bauer, Ludwig Amandus: Allgemeine Weltgeschichte für alle Stände. Mit einem Stahlstich; Bd. 2. Stuttgart, 1836.",http://gei-digital.gei.de/viewer/image/PPN774791233/89,"Mit unauslöschlichen Zügen hat sich der Name Justinian jenem Gesetz buche ausgeprägt, welches heute noch als Hanptguelle alles positiven Rechts im Abendlande gilt, und von dessen Herausgabe muß denn auch zunächst hier die Rede scyn.",1
8269,1836,Gebrauchsliteratur,"Bauer, Ludwig Amandus: Allgemeine Weltgeschichte für alle Stände. Mit einem Stahlstich; Bd. 1. Stuttgart, 1836.",http://gei-digital.gei.de/viewer/image/PPN774790377/734,"Bischof Victor von Rom (185 bis 197) war im Begriffe, mit dieser Sekte in Kirchen gemcinsehaft zu treten, als Prapeas um 192 ans Asien nach Rom kam, und die Stimmung dergestalt an. dcrte, daß der Montanismus verworfen wurde, obwohl der erste großre Kirchenschriftstellcr des Abendlandes, der feurige Q. Scptimius Florcns Tertullianus, Pres byter von Karthago (gest. 220), für ihn in die Cchran ken getreten war.",1
