HitNo,Date,Genre,Bibl,URL,Hit,Sentiment
39992,1731,Gebrauchsliteratur,"Hederich, Benjamin: Reales Schul-Lexicon; Andere und vermehrtere Aufl. Leipzig, 1731.",https://gei-digital.gei.de/viewer/image/PPN746695683/991,"Mulucha ,ein Fluß in Africa, so dieehemahlige Grentz-Scheiduttg^umidiens und Mauritaniens war, und sonst auch von einigen Molo* ebath und mit versetzten Buchstaben Cbyie. math genannt wird.",1
40036,1731,Gebrauchsliteratur,"Hederich, Benjamin: Reales Schul-Lexicon; Andere und vermehrtere Aufl. Leipzig, 1731.",https://gei-digital.gei.de/viewer/image/PPN746695683/1381,"c*faris, so überaus seiner Fahrt nach Africa dem Scipioni in die Hände geriet!), und von solchem so fern als ein Feind gehalten wurde, daß er ihm nicht für die Angen kommen durfte.",1
39846,1731,Gebrauchsliteratur,"Hederich, Benjamin: Reales Schul-Lexicon; Andere und vermehrtere Aufl. Leipzig, 1731.",https://gei-digital.gei.de/viewer/image/PPN746695683/57,"Aemilii Aemilius 90 Jahr daraufwurde ihm Africa ju gouuemiren anvertrauet, da er denn die Stadt Carthaginem formaliter belagerte, und nach grosser Mühe endlich a. m. j§04. eroberte und !er' stöhrete.",1
39958,1731,Gebrauchsliteratur,"Hederich, Benjamin: Reales Schul-Lexicon; Andere und vermehrtere Aufl. Leipzig, 1731.",https://gei-digital.gei.de/viewer/image/PPN746695683/749,""". v, 9.10. ditz Säulen des Herculis, davon er eine in Africa, die andere aber in Lurnpa, an den"" Freto Gaditano, soll aufgerichtet haben, zum Zeichen, wie weit er auf seinem Zuge solcher Gegend gekommen.",1
39977,1731,Gebrauchsliteratur,"Hederich, Benjamin: Reales Schul-Lexicon; Andere und vermehrtere Aufl. Leipzig, 1731.",https://gei-digital.gei.de/viewer/image/PPN746695683/890,"P. Ligarius, dienetc unter dem Afranio, Legato des Pompeii in Spanien/ wider den CTiarern, wurde aber gefangen und unter dem Eyde nicht wiederum gegen denC-iarem zu ' dienen/ von diesem fteygelassen r weil eraber sein Wort nicht hielt/ sondern aufs neue wi, der besagten Ca:farem in Africa die Massen , mit ergriff/ und sein Unglück wolte/ daß er solchem zum andernmahl in die Hände gerieth, muste erauch/wie erverdienet/mitdem Halse bezahlen.",1
39922,1731,Gebrauchsliteratur,"Hederich, Benjamin: Reales Schul-Lexicon; Andere und vermehrtere Aufl. Leipzig, 1731.",https://gei-digital.gei.de/viewer/image/PPN746695683/468,"Er wird von einigen Proconfui riruIikLt, allein yhne daß Ct iernahls Bürgerrneister gewesen, so waxauch Afrika i~el6f£ ?u seinen Zeiten noch keine Prouincia Proconiuiatis.",1
39997,1731,Gebrauchsliteratur,"Hederich, Benjamin: Reales Schul-Lexicon; Andere und vermehrtere Aufl. Leipzig, 1731.",https://gei-digital.gei.de/viewer/image/PPN746695683/1003,"XVI. n. eine Stadt tn Macedo. nia adicÄa.an dem Mari Acg-eo,zwischen Oefyma, Philippis und Topiro, ft Noch itzv UNtkk dem Nahmen dieapoii bekannt ist, und zwischen Caua'a,Pfeifippi und Saoatopoli an dem ' Golfo de Conteffe lieget. Heapol'ts ist bey dem cafare de Eell.Afr. c.; eine Stadt in derPrvvjntz revgitana in Africa, Zwischen Clupeis und Seagul an dem Mittelländis.",1
40022,1731,Gebrauchsliteratur,"Hederich, Benjamin: Reales Schul-Lexicon; Andere und vermehrtere Aufl. Leipzig, 1731.",https://gei-digital.gei.de/viewer/image/PPN746695683/1221,"Massen er a. c, 59. mit dem Cn. Domido Afro Bürgermeister/ nachher aber Statthalterin Africa wurde/ und auch ehe er von dar zurück gehen kunte, wider aller der Seinigen Vermurheir starb.",1
39943,1731,Gebrauchsliteratur,"Hederich, Benjamin: Reales Schul-Lexicon; Andere und vermehrtere Aufl. Leipzig, 1731.",https://gei-digital.gei.de/viewer/image/PPN746695683/686,"Giudi Syrtes sind bey dem Virgilio, Aen. V* v.51. so viel, als die 8vrtis""nnio""- und minor bey Africa,und dieses sö fern, als Giulia eine dcrchsmahliaen vornehmsten Provinken solches Welt-Theils war, und mithin syneedochice für denselben überhaupt kan gebrauchet werden.",1
39869,1731,Gebrauchsliteratur,"Hederich, Benjamin: Reales Schul-Lexicon; Andere und vermehrtere Aufl. Leipzig, 1731.",https://gei-digital.gei.de/viewer/image/PPN746695683/85,"Pom- 146 peium bey Mosiis zur See, und erhielt zuerst von dem Augutto eine Coronam roftratam zum recompens; a. m. 3919. eroberte er Methonam ,'n Africa, Ur d commatidirete hernach die Flotte wider den Amonim"" und die Cieopatram, welche er denn auch bey Aüio roraiicer schlug, und mithin des Auguftt Herrschaft vornehmlich fest setzete, allein dafür auch die Ehre hatte, daß ihm dieser hernachmahls seine Tochter, die iuliam, zur Gemahlin gab, nachdem ihr erster Mann Marcellus gestorben war.",1
