HitNo,Date,Genre,Bibl,URL,Hit,Sentiment
68567,1750,Gebrauchsliteratur,"Desing, Anselm: Kürtziste Universal-Historie Nach der Geographia Auf der Land-Karte. München, 1750.",https://gei-digital.gei.de/viewer/image/PPN746143915/171,"^5 ^9.) wann die Deutsche nicht den ungeschickten Fehler begangen hätten, und ih- *e gewaltigen Armee in Dccy Haussen zer- JJtntif, Dann da käme der Burgermet- W C, Marius über sie, und reibte einen Schwarm nach dem andern auf. Z.",1
69531,1753,Gebrauchsliteratur,"Hübner, Johann: Johann Huebners, J. U. L. Vollständige Geographie. Von Dänemarck, Norwegen, Schweden, Preussen, Polen, Rußland, Ungarn, Türckey, Asia, Africa, America, und von den unbekannten Ländern; Theil 2; Siebente und verbesserte Auflage. Frankfurt am Main, 1753.",https://gei-digital.gei.de/viewer/image/PPN74657763X/590,"Die Einwohner sind diebische und mörderische Gesellen, darum werden sie auch von den Deutschen die Diebes-Jnsuln; von den Frantzosen Les Isles deLARRONS: und aufLateinisch INSLJLZE LATRONUM, genennet:",1
69503,1753,Gebrauchsliteratur,"Hübner, Johann: Johann Huebners, J. U. L. Vollständige Geographie. Von Europa, Portugall, Spanien, Franckreich, England, Schottland, Ireland, Niederland, Schweitz und Italien; Theil 1; Siebente und verbesserte Auflage. Frankfurt am Main, 1753.",https://gei-digital.gei.de/viewer/image/PPN746575262/577,"Von denFrantzosen werden sieORI- 80N8, und von den Deutschen Grau - pündter genannt, weil die ersten Stifter ihres Bundes grau-bärtigeMänner gewesen sind, und auch keine andere Kleider getraaen haben, als einen Rock von geringem grauen Tuche.",1
69449,1755,Gebrauchsliteratur,"Hager, Johann Georg: M. Johann Georg Hagers, Rect. zu Chemnitz, Kleine Geographie vor die Anfänger. Chemnitz, 1755.",https://gei-digital.gei.de/viewer/image/PPN746450257/402,"Die Einwohner sind Teutsche, welche alle drey 1 Religionen ausüben.",1
69466,1755,Gebrauchsliteratur,"Hager, Johann Georg: M. Johann Georg Hagers, Rect. zu Chemnitz, Kleine Geographie vor die Anfänger. Chemnitz, 1755.",https://gei-digital.gei.de/viewer/image/PPN746450257/685,"Biharienfis, if£ unter Szabolts, und deren Einwohner sind Ungarn und Teutsche.",1
69462,1755,Gebrauchsliteratur,"Hager, Johann Georg: M. Johann Georg Hagers, Rect. zu Chemnitz, Kleine Geographie vor die Anfänger. Chemnitz, 1755.",https://gei-digital.gei.de/viewer/image/PPN746450257/683,"Es wird selbige von Ungarn, Böhmen, Teutschen und Russen bewohnet.",1
69707,1774,Gebrauchsliteratur,"Steinberg, Christian Gottlieb: Lehrbuch für Frauenzimmer. [Bd. 2]; Bd. 2. Breslau, 1774.",https://gei-digital.gei.de/viewer/image/PPN746697090/182,"r68 Kap. z. Geschichte Deutschlandes. welcher letzte unter den Thüringern, Hessen und Sachsen gepredlget hat, im Jahre 723 zu Rom zum Bischof der Deutschen verordnet ttnd Vonisacius genennet worden. §.",1
69709,1774,Gebrauchsliteratur,"Steinberg, Christian Gottlieb: Lehrbuch für Frauenzimmer. [Bd. 2]; Bd. 2. Breslau, 1774.",https://gei-digital.gei.de/viewer/image/PPN746697090/264,Don dem Einbruch der Deutschen bis zur Ankunft der Mauren. §. Z.,1
69139,1781,Gebrauchsliteratur,"Schröckh, Johann Matthias: Allgemeine Weltgeschichte für Kinder. Geschichte der Deutschen; Theil 3. Leipzig, 1781.",https://gei-digital.gei.de/viewer/image/PPN746267711/357,Von den Deutschen wurde die Prager höht,1
68912,1781,Gebrauchsliteratur,"Schröckh, Johann Matthias: Allgemeine Weltgeschichte für Kinder. Geschichte der Deutschen; Theil 3. Leipzig, 1781.",https://gei-digital.gei.de/viewer/image/PPN746267711/136,"Aber wenn gleich die Deutschen nie e'ne ^nen a^c'n eigene Buchstabenschrift Sie veran- gehabt, oder ersonnen haben: so haben sie da Entstehung 9e9en neue Sprachen heryorgebracht, und ver, neuer unsacht, daß die airrömische Sprache, deren Sprachen.",1
69009,1781,Gebrauchsliteratur,"Schröckh, Johann Matthias: Allgemeine Weltgeschichte für Kinder. Geschichte der Deutschen; Theil 3. Leipzig, 1781.",https://gei-digital.gei.de/viewer/image/PPN746267711/228,"220 IIHauptth.NeuereGesch. VIIIBuch. I- nach C. sachte endlich cine allgemeine Empörung seiner brs-6^ Unterthanen, und darunter auch der Deutschen, gegen ihn.",1
69155,1781,Gebrauchsliteratur,"Schröckh, Johann Matthias: Allgemeine Weltgeschichte für Kinder. Geschichte der Deutschen; Theil 3. Leipzig, 1781.",https://gei-digital.gei.de/viewer/image/PPN746267711/369,"Gesch. der Deutschen. V Zeitraum. z6r Deutschen so wohl augebaute Land, welches derI. nachC. deutsche Ritterorden an das deutsche Reich ge- \2^ bracht hatte, der Hoheit desselben entzogen wurde.Die größten und blühendsten prcußischenStadte, wie Danzig, Thorn und Elbingen, kündigten dem deutschen Orden, wegen seiner gewaktthätigen Regierung,^den Gehorsam auf, und baten den Kaiser um Hülfe gegen denselben.",1
68785,1781,Gebrauchsliteratur,"Schröckh, Johann Matthias: Allgemeine Weltgeschichte für Kinder. Geschichte der Deutschen; Theil 3. Leipzig, 1781.",https://gei-digital.gei.de/viewer/image/PPN746267711/52,"Es war überhaupt nicht glaublich, daß die Deutschen, welche nicht einmal ihren eigenen Fürsten eine willkührliche Gewalt über sich zugestanden, sich so leicht unter die Herrschaft eines ausländischen Volks demüthigen würden.",1
69150,1781,Gebrauchsliteratur,"Schröckh, Johann Matthias: Allgemeine Weltgeschichte für Kinder. Geschichte der Deutschen; Theil 3. Leipzig, 1781.",https://gei-digital.gei.de/viewer/image/PPN746267711/364,"Sie stand auch überdieß in der falschen Meynung, daß man nicht schuldig sey, einem irrgläubigen Christen Treue und gegebenes Wort zu halten: ein abscheulicher Gedanke, der, wenn es eine Versainmlung von lauter Deutschen gewesen wäre, schwerlich die Oberhand würde behalten haben.",1
