HitNo,Date,Genre,Bibl,URL,Hit,Sentiment
198247,1731,Gebrauchsliteratur,"Hederich, Benjamin: Reales Schul-Lexicon; Andere und vermehrtere Aufl. Leipzig, 1731.",https://gei-digital.gei.de/viewer/image/PPN746695683/677,"Pranci, ein Deutsches Volck, welches sich, als das Römische Reich in völlige Abnahme zu gerathen anfieng, zusamme schlug, und sich für erst der Lcomee Herrschaft in Teutschland entschüttete, hernach aber auch solche in den Niederlanden und lctzlich selbst in Gallien und Italien heimsüchten, icyvch aber sich in letzten"" eben nicht verweileten, hingegen aber Gallien mit so ziemlich guten Willen der alten Einwohner in desto fester"" Besitz nahmen, und von sich Franckuerch, ys.",1
197511,1741,Gebrauchsliteratur,"Schatz, Johann Jacob; Hübner, Johann; Wormßer, Johann Ludwig: Erste Anfangs-Gründe Der Geographie. Nürnberg, 1741.",https://gei-digital.gei.de/viewer/image/PPN746461216/307,Wce viele Universitäten zehlet man überhaupt m Teutschland?,1
197416,1741,Gebrauchsliteratur,"Schatz, Johann Jacob; Hübner, Johann; Wormßer, Johann Ludwig: Erste Anfangs-Gründe Der Geographie. Nürnberg, 1741.",https://gei-digital.gei.de/viewer/image/PPN746461216/172,"Von Deutschland, übrige alles gehört dem König inPreussenoder Chili- Brandenburg. $. L;.",1
196482,1741,Gebrauchsliteratur,"Elteste, Friedrich Gottfried: Hübnerus enucleatus & illustratus, Zweymal zwey und funfzig Lectiones aus der Politischen Historie, Worinnen Der Kern der Hübnerischen Historischen Fragen enthalten, und nach der bekannten und belobten Hübnerischen Lehr-Art Durch kurtze und deutliche [...]. Leipzig, 1741.",https://gei-digital.gei.de/viewer/image/PPN74616369X/610,"Sein 32 emtziger Sohn PHILIP PU 8, bekam die Spanische Monarchie, und sein Bruder FERD1NANDUS behielt Deutschland und die Kayserliche Würde.",1
197442,1741,Gebrauchsliteratur,"Schatz, Johann Jacob; Hübner, Johann; Wormßer, Johann Ludwig: Erste Anfangs-Gründe Der Geographie. Nürnberg, 1741.",https://gei-digital.gei.de/viewer/image/PPN746461216/231,"Provmtzen und merckwürdigsim Orten von Teutschland ist zu wissen, daß einige das Teürsche Reich nach sechs darinn besindlichen grossen Flüssen eintheilcn, und bey jedem derselben gewisse Provmtzen mercken, welche um und Hey denselben liegen.",1
197502,1741,Gebrauchsliteratur,"Schatz, Johann Jacob; Hübner, Johann; Wormßer, Johann Ludwig: Erste Anfangs-Gründe Der Geographie. Nürnberg, 1741.",https://gei-digital.gei.de/viewer/image/PPN746461216/305,Was für gefürstete Grafschafften hat man in Teutschland?,1
92942,1745,Gebrauchsliteratur,"Schmauß, Johann Jacob: Joh. Jacob Schmaussens Einleitung zur allerneuesten Staats-Wissenschaft. Leipzig, 1745.",https://gei-digital.gei.de/viewer/image/PPN637245431/17,V Man wird also wol nemahls Teutschland weder von einem einheimischen noch auswärtigen Fürsten unterdrücken lassen sondern die Freyheit der vor nehmsten Stände allezeit beyzubehalten suchen.,1
197677,1753,Gebrauchsliteratur,"Hübner, Johann: Johann Huebners, J. U. L. Vollständige Geographie. Von Dänemarck, Norwegen, Schweden, Preussen, Polen, Rußland, Ungarn, Türckey, Asia, Africa, America, und von den unbekannten Ländern; Theil 2; Siebente und verbesserte Auflage. Frankfurt am Main, 1753.",https://gei-digital.gei.de/viewer/image/PPN74657763X/310,"Solche bestehet eigentlich in zwey Academien, als 1. die Academie der lVissenschaften , welche PETRUS f. am 28. Jan. 17*4. kurtz vor seinem Tode fun. dierte, auch solche mit den gelehrtesten Brokelloribus, die er Mit unsäglichen Unkösten ans Deutschland, aus der Schweitz, und aus Franckreich verschrieben , besetzte.",1
197675,1753,Gebrauchsliteratur,"Hübner, Johann: Johann Huebners, J. U. L. Vollständige Geographie. Von Dänemarck, Norwegen, Schweden, Preussen, Polen, Rußland, Ungarn, Türckey, Asia, Africa, America, und von den unbekannten Ländern; Theil 2; Siebente und verbesserte Auflage. Frankfurt am Main, 1753.",https://gei-digital.gei.de/viewer/image/PPN74657763X/220,"Massen denn nur alleine nach Deutschland viel hundert tausend Woll-Sacke verführet, und gegen andere unentbehrliche Dinge vertallschet werden.",1
197222,1755,Gebrauchsliteratur,"Hager, Johann Georg: M. Johann Georg Hagers, Rect. zu Chemnitz, Kleine Geographie vor die Anfänger. Chemnitz, 1755.",https://gei-digital.gei.de/viewer/image/PPN746450257/283,"So bekam Teutschland eine ganz andere Gestalt, welches das h. r. Reich teutscher Nation genennet, und von dem Kayssr und den Reichsständen beherrschet wnr.de.",1
197218,1755,Gebrauchsliteratur,"Hager, Johann Georg: M. Johann Georg Hagers, Rect. zu Chemnitz, Kleine Geographie vor die Anfänger. Chemnitz, 1755.",https://gei-digital.gei.de/viewer/image/PPN746450257/282,"Nunmehro waren demnach in Teutschland zwo Hauptreligionen, nehmlich die römischcatholische und die evangelischluthcrische.",1
197320,1755,Gebrauchsliteratur,"Hager, Johann Georg: M. Johann Georg Hagers, Rect. zu Chemnitz, Kleine Geographie vor die Anfänger. Chemnitz, 1755.",https://gei-digital.gei.de/viewer/image/PPN746450257/500,"Buch, von Teutschland. tul ist bis jetzo noch zu Magdeburg, allein es ist selbiges der evangelischen Religion zugethan.",1
197583,1770,Gebrauchsliteratur,"Chrysander, Wilhelm Christian Justus: Vermehrtes Geographisches Handbüchlein für die zarte Jugend; Zweite Auflage. Mühlhausen, 1770.",https://gei-digital.gei.de/viewer/image/PPN746572069/137,"Die Alpen, Gebürge'/ so Frankreich Deutschland und Italien von einander sondern. 3)",1
197545,1770,Gebrauchsliteratur,"Chrysander, Wilhelm Christian Justus: Vermehrtes Geographisches Handbüchlein für die zarte Jugend; Zweite Auflage. Mühlhausen, 1770.",https://gei-digital.gei.de/viewer/image/PPN746572069/33,Wo lieget der Weffphslische Kreys nnus ber Landkarte von Deutschland?,1
198339,1774,Gebrauchsliteratur,"Steinberg, Christian Gottlieb: Lehrbuch für Frauenzimmer. [Bd. 2]; Bd. 2. Breslau, 1774.",https://gei-digital.gei.de/viewer/image/PPN746697090/174,"Von Deutschland. thum Sachsen; gegen Abend an die lüneburgischen Lande, und gegen Mitternacht an Mecklenburg und Pommern. §.",1
198382,1774,Gebrauchsliteratur,"Steinberg, Christian Gottlieb: Lehrbuch für Frauenzimmer. [Bd. 2]; Bd. 2. Breslau, 1774.",https://gei-digital.gei.de/viewer/image/PPN746697090/271,"357 §. 2. Frankreich granzet gegen Morgen an Deutschland, die Schweitz und Italien; gegen Mittag an Spanien und das mittelländische Meer; gegen Abend an das atlantische Meer; gegen Mitternacht an den Kanal und die Niederlande. §.",1
197049,1777,Gebrauchsliteratur,"Pfennig, Johann Christoph: Anleitung zur gründlichen und nützlichen Kenntniß der neuesten Erdbeschreibung, nach den brauchbarsten Landkarten, vornemlich zum Unterricht der Jugend verfertiget; Zweyte, durchgängig vermehrte und verbesserte Ausgabe. Stettin, 1777.",https://gei-digital.gei.de/viewer/image/PPN74644169X/75,"Von Mittag gegen Mitternacht liegt Deutschland, zwischen dm 4s Grad 4 Minuten und 54 Grad 40 Minuten, welches eine Entfernung von.",1
196851,1781,Gebrauchsliteratur,"Schröckh, Johann Matthias: Allgemeine Weltgeschichte für Kinder. Geschichte der Deutschen; Theil 3. Leipzig, 1781.",https://gei-digital.gei.de/viewer/image/PPN746267711/465,"Die deutsche Sprache war sogar, besonders bey Gelegenheit des dreyßigjahrigen Krieges, da so viele tausend Ausländer nach Deutschland kamen, mit einer Menge fremder Wörter überschwemmt u?oc> den.",1
196635,1781,Gebrauchsliteratur,"Schröckh, Johann Matthias: Allgemeine Weltgeschichte für Kinder. Geschichte der Deutschen; Theil 3. Leipzig, 1781.",https://gei-digital.gei.de/viewer/image/PPN746267711/120,"Hier ist es gnug. anzumcrkcn, daß auch diese Deutschen, die außerhalb Deutschland so mächtig wurden, ohngefahr fünf, zig Jahre nach ihrer Ankunft in Britannien an. fiengen, sich zur christlichen Religion zu bekennen.",1
196920,1781,Gebrauchsliteratur,"Schröckh, Johann Matthias: Allgemeine Weltgeschichte für Kinder. Geschichte der Deutschen; Theil 3. Leipzig, 1781.",https://gei-digital.gei.de/viewer/image/PPN746267711/643,"Kaiserliches Hestitutiottsedr'ct gegen die Protestanten- Gustav Adolf, König hon Schwedenlandet mit einem Kriegsheere in Deutschland.",1
197816,1784,Gebrauchsliteratur,"Hammerdörfer, Karl; Kosche, Christian Traugott: Europa. West- und Süd-Europa; Bd. 1. Leipzig, 1784.",https://gei-digital.gei.de/viewer/image/PPN746586302/249,"Seine amerikanischen, afrikanischen und ostindischen Besitzungen giengen verloren, der Handel und die Seemacht wurden zerstöret, die nach Teutschland geschickten Armeen geschlagen, und Frankreich mußte 176z den Frieden durch Abtretung weitlauftigerAander an Großbritannien erkaufen.",1
196328,1795,Gebrauchsliteratur,"Schröckh, Johann Matthias: Hilmar Curas weil. Collegen des Joachimsthalischen Gymnasium zu Berlin Einleitung zur Universalhistorie zum Gebrauche bey dem ersten Unterrichte der Jugend; Fünfte verbesserte und vermehrte Auflage. Berlin, 1795.",https://gei-digital.gei.de/viewer/image/PPN746155425/366,WaS für eine Art Städte setzte er in Deutschland rin? --,1
