HitNo,Date,Genre,Bibl,URL,Hit,Sentiment
80348,1741,Gebrauchsliteratur,"Schatz, Johann Jacob; Hübner, Johann; Wormßer, Johann Ludwig: Erste Anfangs-Gründe Der Geographie. Nürnberg, 1741.",http://gei-digital.gei.de/viewer/image/PPN746461216/128,"76 Von Europa. den Namen der Europäischen Tütarey (Tataria Europnea; führet, und mercket man dabey insonderheit die an der Mitte angehenckce Halb-Insul 6Ue5tone5u8 ""EauricL genant.",1
80378,1741,Gebrauchsliteratur,"Schatz, Johann Jacob; Hübner, Johann; Wormßer, Johann Ludwig: Erste Anfangs-Gründe Der Geographie. Nürnberg, 1741.",http://gei-digital.gei.de/viewer/image/PPN746461216/148,$6 Von Europa Was ist unter folgenden Orten zu verstehen itatTnSf liegen dieselbe?,1
79624,1750,Gebrauchsliteratur,"Desing, Anselm: Kürtziste Universal-Historie Nach der Geographia Auf der Land-Karte. München, 1750.",http://gei-digital.gei.de/viewer/image/PPN746143915/326,^ ehänes An. 1327. eroberte Callipolis Europa* Amurath /.,1
80541,1753,Gebrauchsliteratur,"Hübner, Johann: Johann Huebners, J. U. L. Vollständige Geographie. Von Dänemarck, Norwegen, Schweden, Preussen, Polen, Rußland, Ungarn, Türckey, Asia, Africa, America, und von den unbekannten Ländern; Theil 2; Siebente und verbesserte Auflage. Leipzig], 1753.",http://gei-digital.gei.de/viewer/image/PPN74657763X/387,von der Europäischen Türcker. Z67 Diese Tartarn sind in Europa zurück geblieben/ als diese Nation im Xill.,1
80511,1753,Gebrauchsliteratur,"Hübner, Johann: Johann Huebners, J. U. L. Vollständige Geographie. Von Europa, Portugall, Spanien, Franckreich, England, Schottland, Ireland, Niederland, Schweitz und Italien; Theil 1; Siebente und verbesserte Auflage. [Frankfurt; Leipzig], 1753.",http://gei-digital.gei.de/viewer/image/PPN746575262/378,"Von dem festen Schlosse daselbst wird ein Wesen gemacht, als wenn es seines g!ei* chea in Europa nicht hätte.",1
80583,1753,Gebrauchsliteratur,"Hübner, Johann: Johann Huebners, J. U. L. Vollständige Geographie. Von Dänemarck, Norwegen, Schweden, Preussen, Polen, Rußland, Ungarn, Türckey, Asia, Africa, America, und von den unbekannten Ländern; Theil 2; Siebente und verbesserte Auflage. Leipzig], 1753.",http://gei-digital.gei.de/viewer/image/PPN74657763X/807,"787 daß es auf gantzen Flotten nach Europa geführet, und in de"" Zucht"" Häusern geraspelt wird.",1
80512,1753,Gebrauchsliteratur,"Hübner, Johann: Johann Huebners, J. U. L. Vollständige Geographie. Von Europa, Portugall, Spanien, Franckreich, England, Schottland, Ireland, Niederland, Schweitz und Italien; Theil 1; Siebente und verbesserte Auflage. [Frankfurt; Leipzig], 1753.",http://gei-digital.gei.de/viewer/image/PPN746575262/411,"Dem ohngeachtet stecket dieses kl-i:e Land so voller grossen Städte, daß es an der Zahl der Einwohner mit den grösten Königreichen in Europa um den Vorzug stretteu kan.",1
80293,1755,Gebrauchsliteratur,"Hager, Johann Georg: M. Johann Georg Hagers, Rect. zu Chemnitz, Kleine Geographie vor die Anfänger. Chemnitz, 1755.",http://gei-digital.gei.de/viewer/image/PPN746450257/738,Er scheidet Europa undAfien von einander. 2),1
80311,1776,Gebrauchsliteratur,"Schatz, Johann Jacob: Examen Geographicum. Das ist Auserlesene Fragen aus der Geographie, Deren Beantwortung aus einem jeden wohleingerichteten Geographischen Systemate mag genommen werden. Leipzig, 1776.",http://gei-digital.gei.de/viewer/image/PPN746453914/41,"Wie viel Kaiserthümer sind in Europa? wie viel König, reiche und wie viele grosse Republiken und andere Staaten? welche sind die drey Kaiserthümer, und wie weit erstrecken sich insonderheit die beyden letztem?",1
80310,1776,Gebrauchsliteratur,"Schatz, Johann Jacob: Examen Geographicum. Das ist Auserlesene Fragen aus der Geographie, Deren Beantwortung aus einem jeden wohleingerichteten Geographischen Systemate mag genommen werden. Leipzig, 1776.",http://gei-digital.gei.de/viewer/image/PPN746453914/41,Was urtheilet man von Europa in Ansehung der übrige Theile der Welt? was hat Europa für Gränzen? woraus bestehet dasselbige?,1
