HitNo,Date,Genre,Bibl,URL,Hit,Sentiment
9332,1753,Gebrauchsliteratur,"Hübner, Johann: Johann Huebners, J. U. L. Vollständige Geographie. Von Dänemarck, Norwegen, Schweden, Preussen, Polen, Rußland, Ungarn, Türckey, Asia, Africa, America, und von den unbekannten Ländern; Theil 2; Siebente und verbesserte Auflage. Leipzig], 1753.",http://gei-digital.gei.de/viewer/image/PPN74657763X/833,"Grad sind die Europäer komme"", und bis dahiu sind Z00.",1
9333,1753,Gebrauchsliteratur,"Hübner, Johann: Johann Huebners, J. U. L. Vollständige Geographie. Von Dänemarck, Norwegen, Schweden, Preussen, Polen, Rußland, Ungarn, Türckey, Asia, Africa, America, und von den unbekannten Ländern; Theil 2; Siebente und verbesserte Auflage. Leipzig], 1753.",http://gei-digital.gei.de/viewer/image/PPN74657763X/834,"Hierauf giengen gantzer 200. Jahr dahin, daß kein Europäer aus Norwegen nach Grönland kam; ja auf die letzte ward es gar vor ein verlohrnes Land gehalten, und vie Leute zwei, feiten gar mit einander, ob jemals ein Grönland in der Welt gewesen wäre.",1
9318,1753,Gebrauchsliteratur,"Hübner, Johann: Johann Huebners, J. U. L. Vollständige Geographie. Von Dänemarck, Norwegen, Schweden, Preussen, Polen, Rußland, Ungarn, Türckey, Asia, Africa, America, und von den unbekannten Ländern; Theil 2; Siebente und verbesserte Auflage. Leipzig], 1753.",http://gei-digital.gei.de/viewer/image/PPN74657763X/679,"Es sind nunmehr 2"";0. Jahr, daß die Portugiesen unS Europäern diese schöne Küsten bekannt gemacht, und sich auch so fest darauf gesetzet haben, daß sie wohl niemand wieder von dannen treiben wird.",1
9294,1753,Gebrauchsliteratur,"Hübner, Johann: Johann Huebners, J. U. L. Vollständige Geographie. Von Dänemarck, Norwegen, Schweden, Preussen, Polen, Rußland, Ungarn, Türckey, Asia, Africa, America, und von den unbekannten Ländern; Theil 2; Siebente und verbesserte Auflage. Leipzig], 1753.",http://gei-digital.gei.de/viewer/image/PPN74657763X/416,Deswegen haben die Europäer gantze Colonien daselbst nieder-gesetzt.,1
9329,1753,Gebrauchsliteratur,"Hübner, Johann: Johann Huebners, J. U. L. Vollständige Geographie. Von Dänemarck, Norwegen, Schweden, Preussen, Polen, Rußland, Ungarn, Türckey, Asia, Africa, America, und von den unbekannten Ländern; Theil 2; Siebente und verbesserte Auflage. Leipzig], 1753.",http://gei-digital.gei.de/viewer/image/PPN74657763X/780,"Sie achten keine Ehre, keinen Reichthum, und auch keinen Hausrath"" sondern lachen die Europäer aus, daß sie stch mit lo vielen Weitläuftigkeiten beladen.",1
9322,1753,Gebrauchsliteratur,"Hübner, Johann: Johann Huebners, J. U. L. Vollständige Geographie. Von Dänemarck, Norwegen, Schweden, Preussen, Polen, Rußland, Ungarn, Türckey, Asia, Africa, America, und von den unbekannten Ländern; Theil 2; Siebente und verbesserte Auflage. Leipzig], 1753.",http://gei-digital.gei.de/viewer/image/PPN74657763X/709,"Es ist aber d eie Insul vor die Europäer sehr ungesund, so daß niemand l?chte 50. Jahr a!t wrrd.",1
9320,1753,Gebrauchsliteratur,"Hübner, Johann: Johann Huebners, J. U. L. Vollständige Geographie. Von Dänemarck, Norwegen, Schweden, Preussen, Polen, Rußland, Ungarn, Türckey, Asia, Africa, America, und von den unbekannten Ländern; Theil 2; Siebente und verbesserte Auflage. Leipzig], 1753.",http://gei-digital.gei.de/viewer/image/PPN74657763X/690,"Da lieget das grosse Königreich MATA MANN, ein Verzichtes und unfruchtbares Land, deswegen die Europäer kein klailst gefunden haben / sich darinnen niederzulaffen.",1
9309,1753,Gebrauchsliteratur,"Hübner, Johann: Johann Huebners, J. U. L. Vollständige Geographie. Von Dänemarck, Norwegen, Schweden, Preussen, Polen, Rußland, Ungarn, Türckey, Asia, Africa, America, und von den unbekannten Ländern; Theil 2; Siebente und verbesserte Auflage. Leipzig], 1753.",http://gei-digital.gei.de/viewer/image/PPN74657763X/583,"Es sind viel Könrge auf dieser Insul, welche die Europäer in ihrer Regierung ungestöret lassen.",1
9264,1755,Gebrauchsliteratur,"Hager, Johann Georg: M. Johann Georg Hagers, Rect. zu Chemnitz, Kleine Geographie vor die Anfänger. Chemnitz, 1755.",http://gei-digital.gei.de/viewer/image/PPN746450257/819,Nunmehro haben aber auch die Europäer verschiedene europäische Sprachen dahin gebracht. §. IX. Don der -Handlung.,1
9235,1777,Gebrauchsliteratur,"Pfennig, Johann Christoph: Anleitung zur gründlichen und nützlichen Kenntniß der neuesten Erdbeschreibung, nach den brauchbarsten Landkarten, vornemlich zum Unterricht der Jugend verfertiget; Zweyte, durchgängig vermehrte und verbesserte Ausgabe. Stettin, 1777.",http://gei-digital.gei.de/viewer/image/PPN74644169X/386,"Die Einwohner von Amerika sind thcils Indianer, theils Europäer von verschiedenen Nationen und theils Mohren oder Negers, so als eine brauchbare Waare von dm Europäern aus Aftika nach Amerika geführt werde"".",1
9223,1777,Gebrauchsliteratur,"Pfennig, Johann Christoph: Anleitung zur gründlichen und nützlichen Kenntniß der neuesten Erdbeschreibung, nach den brauchbarsten Landkarten, vornemlich zum Unterricht der Jugend verfertiget; Zweyte, durchgängig vermehrte und verbesserte Ausgabe. Stettin, 1777.",http://gei-digital.gei.de/viewer/image/PPN74644169X/289,"Sepoien find indianische von Europäern geworbene Üud orercirte Fußknechte >' Dopasse"", aber sind Fußvölker von lohfarbi- ' ger Hant, so von Portugiesen, M sich mit Indianern ver-""' mischt haben, äbstammen. pioa oder' TaKaress sind unexercirte Tamuler mitiudiamschen Flinten ober auch Lanzen.",1
