HitNo,Date,Genre,Bibl,URL,Hit,Sentiment
27579,1731,Gebrauchsliteratur,"Hederich, Benjamin: Reales Schul-Lexicon; Andere und vermehrtere Aufl. Leipzig, 1731.",http://gei-digital.gei.de/viewer/image/PPN746695683/537,"Mann und 600. Schiffen, wider die Europäischen Scythengieng, so die itzige Wallschey, Moldau, Polen und so fernerinne batten, kam er durch Hunger und andere Zufälle so fern zu kurtz, daß er von seiner ganzen Macht nicht mehr, als 82000.",1
27577,1731,Gebrauchsliteratur,"Hederich, Benjamin: Reales Schul-Lexicon; Andere und vermehrtere Aufl. Leipzig, 1731.",http://gei-digital.gei.de/viewer/image/PPN746695683/457,Zst von Türcken und Griechen bewohnet/ von denen erstere sonderlich unversöhnte Feinde der Europäischen Christen seyn sollen.,1
27064,1741,Gebrauchsliteratur,"Schatz, Johann Jacob; Hübner, Johann; Wormßer, Johann Ludwig: Erste Anfangs-Gründe Der Geographie. Nürnberg, 1741.",http://gei-digital.gei.de/viewer/image/PPN746461216/513,"Hingegen alles und jedes, was die röche und gelbe Farbe hat, sind Türkische Lander, welche zusammen die Europäische Türckey heissen; und das zum Unterschied der Ädrigen Provintzen, welche dem Türcken iy Afien zuständig sind.",1
27073,1741,Gebrauchsliteratur,"Schatz, Johann Jacob; Hübner, Johann; Wormßer, Johann Ludwig: Erste Anfangs-Gründe Der Geographie. Nürnberg, 1741.",http://gei-digital.gei.de/viewer/image/PPN746461216/595,"Der Diffcltg des Dnieper"" gelegene Theil der Europäischen kleinen Latarey TaraH<$ dt jDanaprienfnbestehet aus einem andcmDnieper Fluß gelegenen Stück vestcn Landes und der Halb- Änsul Lriin, vor Alters Cberfwefus Jaurica genannt. r.",1
27065,1741,Gebrauchsliteratur,"Schatz, Johann Jacob; Hübner, Johann; Wormßer, Johann Ludwig: Erste Anfangs-Gründe Der Geographie. Nürnberg, 1741.",http://gei-digital.gei.de/viewer/image/PPN746461216/529,"4. Sefto (Sf/?""0 eine von den benden Vestungen, so die grossen Dardanelien gcncnnet werden- Die andere gcaen über heisset Xviuo (Abydus), §. 29. Besiarabren ist ein Stück der Europäischen Tararcy, so den Türcken gehöret.",1
26811,1741,Gebrauchsliteratur,"Elteste, Friedrich Gottfried: Hübnerus enucleatus & illustratus, Zweymal zwey und funfzig Lectiones aus der Politischen Historie, Worinnen Der Kern der Hübnerischen Historischen Fragen enthalten, und nach der bekannten und belobten Hübnerischen Lehr-Art Durch kurtze und deutliche [...]. Leipzig, 1741.",http://gei-digital.gei.de/viewer/image/PPN74616369X/508,"DerPabst urba Nüs 11. habe, auf Zinrathen ROAMUNOls Herhogs in Apulien, die Europäische Christenheit, zu der Asiatischen Expedition aufgemuntett, damit bey solchem Tumult Ln allen Provintzen, so wohl der Pwst sich zu Rom, wo er von seinem Anti- Papa g v 1 b e R T o (*) war verdrungen worden, feste sehen, als auchchoamundus Jllyrien undMacedonien, bey der Gelegenheit, erobern konte.",1
26806,1741,Gebrauchsliteratur,"Elteste, Friedrich Gottfried: Hübnerus enucleatus & illustratus, Zweymal zwey und funfzig Lectiones aus der Politischen Historie, Worinnen Der Kern der Hübnerischen Historischen Fragen enthalten, und nach der bekannten und belobten Hübnerischen Lehr-Art Durch kurtze und deutliche [...]. Leipzig, 1741.",http://gei-digital.gei.de/viewer/image/PPN74616369X/253,"Herod. Ljb. 1. p. ra.6g. Hieraus folget, daß das Europäische Griechen-Land, seine ersten Einwohner, aus JONlEN) in Klein-Anna, erhalten ha- P 5 be,",1
27122,1753,Gebrauchsliteratur,"Hübner, Johann: Johann Huebners, J. U. L. Vollständige Geographie. Von Dänemarck, Norwegen, Schweden, Preussen, Polen, Rußland, Ungarn, Türckey, Asia, Africa, America, und von den unbekannten Ländern; Theil 2; Siebente und verbesserte Auflage. Leipzig], 1753.",http://gei-digital.gei.de/viewer/image/PPN74657763X/381,von der Europäischen Türckey. Z6r und manchen blutigen Sturm darauf gethan hatten.,1
27144,1753,Gebrauchsliteratur,"Hübner, Johann: Johann Huebners, J. U. L. Vollständige Geographie. Von Dänemarck, Norwegen, Schweden, Preussen, Polen, Rußland, Ungarn, Türckey, Asia, Africa, America, und von den unbekannten Ländern; Theil 2; Siebente und verbesserte Auflage. Leipzig], 1753.",http://gei-digital.gei.de/viewer/image/PPN74657763X/647,"Die Griechen sind insgemein Kaufleute, und zu denenselben halten sich mici) die übrigen Europäischen Christen von allerhand Nationen, welche darinnen ein starckes Commercium treiben.",1
27130,1753,Gebrauchsliteratur,"Hübner, Johann: Johann Huebners, J. U. L. Vollständige Geographie. Von Dänemarck, Norwegen, Schweden, Preussen, Polen, Rußland, Ungarn, Türckey, Asia, Africa, America, und von den unbekannten Ländern; Theil 2; Siebente und verbesserte Auflage. Leipzig], 1753.",http://gei-digital.gei.de/viewer/image/PPN74657763X/397,"von der Europäischen Türckey. Z77 CARTAL, NNM Flusse Pruth, wo der Groß""Vezier An. 17;7. zuerst ""ein Lager aufgeschlagen hatte.",1
27131,1753,Gebrauchsliteratur,"Hübner, Johann: Johann Huebners, J. U. L. Vollständige Geographie. Von Dänemarck, Norwegen, Schweden, Preussen, Polen, Rußland, Ungarn, Türckey, Asia, Africa, America, und von den unbekannten Ländern; Theil 2; Siebente und verbesserte Auflage. Leipzig], 1753.",http://gei-digital.gei.de/viewer/image/PPN74657763X/399,"von der Europäischen Türckep. Z79 abscheulich ergeben: Sie sind deswegen mit einer Frau nicht zufrieden, sondern sie haben so viel Concubinen darneben, als ein jedweder ernähren kan.",1
27109,1753,Gebrauchsliteratur,"Hübner, Johann: Johann Huebners, J. U. L. Vollständige Geographie. Von Dänemarck, Norwegen, Schweden, Preussen, Polen, Rußland, Ungarn, Türckey, Asia, Africa, America, und von den unbekannten Ländern; Theil 2; Siebente und verbesserte Auflage. Leipzig], 1753.",http://gei-digital.gei.de/viewer/image/PPN74657763X/357,"___ _____die Europäische Türckey. z 37 ARCHIPELAGQ , welches alles zusammen weiland Griechenland ist gcnennet worden.",1
27032,1755,Gebrauchsliteratur,"Hager, Johann Georg: M. Johann Georg Hagers, Rect. zu Chemnitz, Kleine Geographie vor die Anfänger. Chemnitz, 1755.",http://gei-digital.gei.de/viewer/image/PPN746450257/701,"Die europäische Turkey grenzet gegen Mitternacht an Pohlen und Ungarn, gegen Abend an den venetianischen Meerbusen, gegen Mittag an das mittelländische Meer, und gegen Morgen an das zabachische Meer, an das schwarze Meer, an das Meer Marmorn und an den Archipelagum. §. IV.",1
