HitNo,Date,Genre,Bibl,URL,Hit,Sentiment
67928,1745,Gebrauchsliteratur,"Schmauß, Johann Jacob: Joh. Jacob Schmaussens Einleitung zur allerneuesten Staats-Wissenschaft. Leipzig, 1745.",https://gei-digital.gei.de/viewer/image/PPN637245431/18,"1699 gestorben, und zwischen Franckreich und den beyden See Potenzen ein neuer Theilungs -Tractat geschlossen worden, Carolus Il aber die Monarchie nicht getheilt wissen wolte ließ er sich zu einem an· 1 dern Testament bewegen, wodurch er den andern -- Printzen des Dauphin, Philippum, Hertzogen von Anjom zum Universal Erben der Spanischen Mo- 9 narchie einsetzte, der auch nach seinem Tode An. u 1700 von allen und ieden Theilen derselben ruhiglich Besitz nahm.",1
19689,1787,Gebrauchsliteratur,"Junker, Friedrich August: Kleines Schulbuch für Anfänger im Lesen und Denken; 2. Auflage, wobei eine Anleitung zum Unterrichte aus diesem Buche besonders zu haben. Magdeburg, 1787.",https://gei-digital.gei.de/viewer/image/PPN1770119183/27,"-- Andere Länder in Eurova sind: Portugall, Spanien, Frankreich, England, Holland, Schweiz, Italien, Dönemark, Norwegen, Schweden, Pteussen, Polen, Hungarn, Rußland und die Türken. Von",1
18371,1817,Gebrauchsliteratur,"[N. N.]: Lehrbuch der Europäischen Staatengeschichte. Geschichte Deutschlands und der drey Kaiserthümer; Abth. 2, [Schülerband]. Wien, 1817.",https://gei-digital.gei.de/viewer/image/PPN1736270125/72,Diese Insel selbst ging durch eeine Empörung der Negern für Frankreich verloren.,1
18387,1819,Gebrauchsliteratur,"[N. N.]: Lehrbuch der Europäischen Staatengeschichte. Geschichte der Königreiche, Republiken; Abth. 3, [Schülerband]. Wien, 1819.",https://gei-digital.gei.de/viewer/image/PPN1736270311/15,"Krieges zwischen Frankreich und Rußland fühlte 1812 Preussen die traurigen Folgen der Französischen Übermacht auf eine sehr drückende Weise , ja selbst in diesem Kriege mußte ein Theil der preussischen Armee, mit den Franzosen vereinigt, gtgen Nußtand sreitsn.",1
18397,1819,Gebrauchsliteratur,"[N. N.]: Lehrbuch der Europäischen Staatengeschichte. Geschichte der Königreiche, Republiken; Abth. 3, [Schülerband]. Wien, 1819.",https://gei-digital.gei.de/viewer/image/PPN1736270311/40,"Jehann wurde deßwegen vor das Gericht der Pairs, als ein Vasall des Königs von Frankreich, vorgerufent; und als er nicht erschein, bemächcigte sich der König seitet frayzoltticffe Rohh:it.",1
18392,1819,Gebrauchsliteratur,"[N. N.]: Lehrbuch der Europäischen Staatengeschichte. Geschichte der Königreiche, Republiken; Abth. 3, [Schülerband]. Wien, 1819.",https://gei-digital.gei.de/viewer/image/PPN1736270311/34,"Bald darauf schloß Däsnerark"" mit Frankreich einen Vertrag, und erklärte zuerst an England, dann auch an Schweden Krieg.",1
18401,1819,Gebrauchsliteratur,"[N. N.]: Lehrbuch der Europäischen Staatengeschichte. Geschichte der Königreiche, Republiken; Abth. 3, [Schülerband]. Wien, 1819.",https://gei-digital.gei.de/viewer/image/PPN1736270311/42,"Dieß verursachte eite Empörung, an deren Spitte selbst seine Gemahlinn Isa b elle, Schwester des Königs von Frankreich war.",1
18578,1822,Gebrauchsliteratur,"[N. N.]: Lehrbuch der Europäischen Staatengeschichte. Geschichte Deutschlands, Frankreichs, Rußlands und der Türkey; Abth. 2, [Schülerband]. Wien, 1822.",https://gei-digital.gei.de/viewer/image/PPN1736270834/70,"Im nähmlichen Jahre schloß zuerst P r e u ss en, dann S pa ni en z 11 Basel mit Frankreich Frie d e n.",1
18537,1822,Gebrauchsliteratur,"[N. N.]: Lehrbuch der Europäischen Staatengeschichte. Geschichte Deutschlands, Frankreichs, Rußlands und der Türkey; Abth. 2, [Schülerband]. Wien, 1822.",https://gei-digital.gei.de/viewer/image/PPN1736270834/46,Wenige Wochen nach K. Leopolds Tode erklärte das revolutionirte Frankreich den Krieg at seinen Sohn und Nachfolger K. Franz Il. ii).,1
18658,1823,Gebrauchsliteratur,"[N. N.]: Lehrbuch der neuern Staatengeschichte. [Theil 1, Curs 2, [Schülerband]]; Theil 1, Curs 2, [Schülerband]. Wien, 1823.",https://gei-digital.gei.de/viewer/image/PPN1736271814/109,"Die Niederlande nebst den Herzogthümern Mailand und Mantua blieben bey Frankreich , welchem auch der Großherzog Ferdinand von Toskana und der Herzog Franz von Modena ihre italienischen Länder abtraten.",1
