HitNo,Date,Genre,Bibl,URL,Hit,Sentiment
59228,1731,Gebrauchsliteratur,"Hederich, Benjamin: Reales Schul-Lexicon; Andere und vermehrtere Aufl. Leipzig, 1731.",https://gei-digital.gei.de/viewer/image/PPN746695683/1011,"Sie litten ehcmahls kerne fremden Kaufleute bey sich, truucken keinen Wein, und enthielten sich von alle dem, was einen Menschen weich und weibisch machen kunte, und wurden übrigens selbst von den Römern .für freye Leute erkläret.",1
58783,1741,Gebrauchsliteratur,"Elteste, Friedrich Gottfried: Hübnerus enucleatus & illustratus, Zweymal zwey und funfzig Lectiones aus der Politischen Historie, Worinnen Der Kern der Hübnerischen Historischen Fragen enthalten, und nach der bekannten und belobten Hübnerischen Lehr-Art Durch kurtze und deutliche [...]. Leipzig, 1741.",https://gei-digital.gei.de/viewer/image/PPN74616369X/322,"d. L Die Griechische Übersetzung der LXX. Dolmetscher, welche man heutiges Tages hat, ist dergestalt verderbet und verfälschet, daß man klarlich stehet, was Massen viel fremde Wörter sich in dieselbe eingeschlichen, und von der uralten achten Übersetzung/ deren sich o Ri genes noch soll bedienet haben, mehr nichts, als gleichsam alte verfallene Stücke und Enden, oder, so zu reden, nur noch Trümmer und Lappen,verhandcn und übrig sind.",1
58780,1741,Gebrauchsliteratur,"Elteste, Friedrich Gottfried: Hübnerus enucleatus & illustratus, Zweymal zwey und funfzig Lectiones aus der Politischen Historie, Worinnen Der Kern der Hübnerischen Historischen Fragen enthalten, und nach der bekannten und belobten Hübnerischen Lehr-Art Durch kurtze und deutliche [...]. Leipzig, 1741.",https://gei-digital.gei.de/viewer/image/PPN74616369X/238,"Denn kam bald dlcser bald jener fremder auf den ^hron, und c§ gieng bey solcher öfftern Veränderung in 12 Macedonien sehr confus zu, indem immer einer den andern verjagte, oder gar rodt schlug.",1
58752,1750,Gebrauchsliteratur,"Desing, Anselm: Kürtziste Universal-Historie Nach der Geographia Auf der Land-Karte. München, 1750.",https://gei-digital.gei.de/viewer/image/PPN746143915/541,"Tragus war der erste fremde Kayser, ein Spanier. Sceculum",1
59450,1782,Gebrauchsliteratur,"Semler, Johann Salomon; Schütz, Christian Gottfried: Neues Elementarwerk für die niedern Klassen lateinischer Schulen und Gymnasien. Ausser den noch übrigen Theilen von Europa, ganz Asien, Afrika, Amerika und Südindien; Theil 9, Bd. 2. Halle an der Saale, 1782.",https://gei-digital.gei.de/viewer/image/PPN747232148/320,"Holländer und Smeser sind die einzigen, die Erlaubniß haben hieher zn handeln, da fremde Schiffe von andern Nationen weder hier, noch an einem andern Orte Handlung treiben dürfen.",1
59006,1784,Gebrauchsliteratur,"Hammerdörfer, Karl; Kosche, Christian Traugott: Europa. West- und Süd-Europa; Bd. 1. Leipzig, 1784.",https://gei-digital.gei.de/viewer/image/PPN746586302/752,734 Italien. an fremde Nationen verkauften.,1
59094,1785,Gebrauchsliteratur,"Hammerdörfer, Karl; Kosche, Christian Traugott: Europa. [Bd. 2, Abth. 2]; Bd. 2, Abth. 2. Leipzig, 1785.",https://gei-digital.gei.de/viewer/image/PPN746590059/370,"Unter der ersten versteht man sowohl einheimische als fremde Truppen; jene stnd insgesammt polnisch gekleidet und machen lauter Reuterey, deren Name Husaren oder Panzerträträger ist.",1
70239,1785,Gebrauchsliteratur,"Basedow, Johann Bernhard: Das Basedowische Elementarwerk. [Bd. 2]; Bd. 2; 2., sehr verb. Aufl. Leipzig, 1785.",https://gei-digital.gei.de/viewer/image/PPN78884752X/115,"An der Seite dieser Lade brennen zwey Kerzen, die beyden Erkenntnisiarten der Religion, durch fremde Belehrung und durch eigne Einsicht zu bedeuten.",1
70244,1785,Gebrauchsliteratur,"Basedow, Johann Bernhard: Das Basedowische Elementarwerk. [Bd. 2]; Bd. 2; 2., sehr verb. Aufl. Leipzig, 1785.",https://gei-digital.gei.de/viewer/image/PPN78884752X/279,"In fremden Gesellschaften, deren Glieder du nicht kennst, rede mit solcher Vorsichtigkeit, als wenn du gewiß wärest , daß irgend Einer das Gegentheil derjenigen Meinung glaubt, welche du vortragen willst.",1
59511,1785,Gebrauchsliteratur,"Basedow, Johann Bernhard: Das Basedowische Elementarwerk. [Bd. 3]; Bd. 3; Zweite, sehr verbesserte Auflage. Leipzig, 1785.",https://gei-digital.gei.de/viewer/image/PPN748736484/49,"Wollte nun ein Staat in solchen Streitigkeiten allzeit dem Widerspruche des andern nachgeben; so würde er in bestandiger Gefahr bleiben, von fremden Staaten beleidigt zu werden, oder zu seinem grossen Schaden harte Foderungen erfüllen zu müssen.",1
70241,1785,Gebrauchsliteratur,"Basedow, Johann Bernhard: Das Basedowische Elementarwerk. [Bd. 2]; Bd. 2; 2., sehr verb. Aufl. Leipzig, 1785.",https://gei-digital.gei.de/viewer/image/PPN78884752X/237,"Vergebens nur ward von der Alten Ein scharf Examen angestellt, DieMägdchen thaten fremd, und schalten Auf den, der diesen Mord gethan, Und weinten endlich mit der Alten Recht bitterlich um ihren Hahn.",1
87828,1786,Gebrauchsliteratur,"Remer, Julius August: Lehrbuch der Staatskunde der vornehmsten europäischen Staaten. Braunschweig, 1786.",https://gei-digital.gei.de/viewer/image/PPN884519465/419,"2) Negalien, als die sehr einträglichen Mondpolien mit einheimischem Meth Bier und Brantewein, und fremdem Brantewein, so daß alle Kabaken oder Schenken Kronpachtungen sind; und dem Salze, Ce 2 beyde",1
