HitNo,Date,Genre,Bibl,URL,Hit,Sentiment
26645,1731,Gebrauchsliteratur,"Hederich, Benjamin: Reales Schul-Lexicon; Andere und vermehrtere Aufl. Leipzig, 1731.",https://gei-digital.gei.de/viewer/image/PPN746695683/1104,"2i8Z Perusini PeS s""S4 Gegend wird bey nche für die angenehmste, i ftirchtbarste und gesundeste in gantz Italien gehalten. kerutsni, find die Einwohner der Stadt peruliT, derv ehemahkige Macht unter andern mit da, herabzunehmen,daß ihrer c^/abius-viaximus Rullianus a.m. 5642. auf einmablbis 5400. erlegete, und 1740. gefangen nahm.",1
26318,1753,Gebrauchsliteratur,"Hübner, Johann: Johann Huebners, J. U. L. Vollständige Geographie. Von Böhmen, Oesterreich, Bayern, Francken, Schwaben, Ober-Rhein, Nieder-Rhein, Westphalen, Nieder-Sachsen und Ober-Sachsen; Theil 3; Siebente und verbesserte Auflage. Frankfurt am Main, 1753.",https://gei-digital.gei.de/viewer/image/PPN746581866/112,"Weil nun von dem Ursprünge der Oder bis an den Fluß Fiitritz, Ut btt) Olnnitz in fcieMoraw fallet/ nur eine Meileweges ist, so haben sich mehr als einmal Leute gesunden, die Kayftr Carolo VI. gerathen haben, daß er diese zwey Flüsse solte lassen zusammengraben.",1
26217,1753,Gebrauchsliteratur,"Hübner, Johann: Johann Huebners, J. U. L. Vollständige Geographie. Von Europa, Portugall, Spanien, Franckreich, England, Schottland, Ireland, Niederland, Schweitz und Italien; Theil 1; Siebente und verbesserte Auflage. Frankfurt am Main, 1753.",https://gei-digital.gei.de/viewer/image/PPN746575262/31,"An den Spanischen Grentzen sind grosse Gebürge, darinnen man vor diesem Gold und Silber gesunden hat; so hat auch der FlußTaZus vor diesem Gold-Körner bev sich geführet:",1
26339,1753,Gebrauchsliteratur,"Hübner, Johann: Johann Huebners, J. U. L. Vollständige Geographie. Von Böhmen, Oesterreich, Bayern, Francken, Schwaben, Ober-Rhein, Nieder-Rhein, Westphalen, Nieder-Sachsen und Ober-Sachsen; Theil 3; Siebente und verbesserte Auflage. Frankfurt am Main, 1753.",https://gei-digital.gei.de/viewer/image/PPN746581866/773,"RÄSPENBERG, am Flusse LoiTa, ist ein Dtadtgen, welches durch einen drey. iachen Gesund.",1
26261,1753,Gebrauchsliteratur,"Hübner, Johann: Johann Huebners, J. U. L. Vollständige Geographie. Von Europa, Portugall, Spanien, Franckreich, England, Schottland, Ireland, Niederland, Schweitz und Italien; Theil 1; Siebente und verbesserte Auflage. Frankfurt am Main, 1753.",https://gei-digital.gei.de/viewer/image/PPN746575262/681,"Die Veuetianer hatten sonst den he-ligen'PMO OOKldN zu ihrem Schutz Patrone; 'Aber8r8. satzten sie denselben ab, und begaben sich m den (Schutz des heiligen Evaugelistens MARCI, dessen Cörper eben damals in Egyptcn war gesunden, und nach Venedig gebracht werden.",1
26331,1753,Gebrauchsliteratur,"Hübner, Johann: Johann Huebners, J. U. L. Vollständige Geographie. Von Böhmen, Oesterreich, Bayern, Francken, Schwaben, Ober-Rhein, Nieder-Rhein, Westphalen, Nieder-Sachsen und Ober-Sachsen; Theil 3; Siebente und verbesserte Auflage. Frankfurt am Main, 1753.",https://gei-digital.gei.de/viewer/image/PPN746581866/424,"Nicht weil davon sind Gesund, und Sauer. Brunnen.",1
26170,1755,Gebrauchsliteratur,"Hager, Johann Georg: M. Johann Georg Hagers, Rect. zu Chemnitz, Kleine Geographie vor die Anfänger. Chemnitz, 1755.",https://gei-digital.gei.de/viewer/image/PPN746450257/528,"Die Luft ist gesund, und das Erdreich mersicntheils überaus fruchtbar, daß sogar einige Meissen die Schatzgrube von Tcurschland genennet haben.",1
26196,1776,Gebrauchsliteratur,"Schatz, Johann Jacob: Examen Geographicum. Das ist Auserlesene Fragen aus der Geographie, Deren Beantwortung aus einem jeden wohleingerichteten Geographischen Systemate mag genommen werden. Frankfurt am Main, 1776.",https://gei-digital.gei.de/viewer/image/PPN746453914/39,"Was hat man bey der Erde vornehmlich zu beobachten? wann nennt man ein Land eben, bergicht, trocken, jumpsigt, fruchtbar, unfruchtbar, gesund, ungesund, vvckreich, öde und unbewohnt?",1
26111,1780,Gebrauchsliteratur,"Schröckh, Johann Matthias: Allgemeine Weltgeschichte für Kinder. Anfang der Neuern Geschichte; Theil 2. Leipzig, 1780.",https://gei-digital.gei.de/viewer/image/PPN746266812/304,"Nicht Streit und wenig Ruhm, sagt er unter andern, ein ruhiges Gemürhe, Ein ich. - mer heitrer Geist und ein gesund Geblüts, Der weisen Einfalt Glück, und gleicher Freunde Gunst, Ein lieber froher Gast, ein Tisch ohn' alle Runst, Ein Schlaf, be^ welchem leicht die Nackt voruberflieht, Ein Herz, das nie von Mahn und eitler Hoffnung glüht; Se^n, was man wünscht zu se^n, nie höhre Münsche nähren, Und seinen letzten Tag nicht scheun, und nicht begehren.",1
26115,1781,Gebrauchsliteratur,"Schröckh, Johann Matthias: Allgemeine Weltgeschichte für Kinder. Geschichte der Deutschen; Theil 3. Leipzig, 1781.",https://gei-digital.gei.de/viewer/image/PPN746267711/421,"Luther warf). nach C. die düstere und zanksüchtige Wissenschaft, welches man dachalS Philosophie nannte, weg, und setzte-Luthers den gesunden Menschenverstand wieder in ftine^""^nste^ Rechte ein.",1
26370,1784,Gebrauchsliteratur,"Hammerdörfer, Karl; Kosche, Christian Traugott: Europa. West- und Süd-Europa; Bd. 1. Leipzig, 1784.",https://gei-digital.gei.de/viewer/image/PPN746586302/627,"So schrecklich diese Erscheinungen auch sind, so bewahren sie, nebst den vielen reinigenden Winden, die Luft dennoch für jeder Fäulniß, und vielleicht findet man keine gesundere Gegend auf dem Erdboden als Helvetien ist.",1
33487,1785,Gebrauchsliteratur,"Basedow, Johann Bernhard: Das Basedowische Elementarwerk. [Bd. 1]; Bd. 1; 2., sehr verb. Aufl. Leipzig, 1785.",https://gei-digital.gei.de/viewer/image/PPN788834533/69,"So zuversichtlich zu urtheilen, bin ich vermuthlich bey der mich kennenden Leserwelt beglaubigt genug, da ich vor vielen Jahren eine practische Philosophie für alle Stände, und hernach eine theoretische, unter dem Namen Philalethie, und einen Auszug derselben, unter dem Namen des Systems der gesunden Vernunft, geschrieben, und solchen Beyfall gefunden habe, daß die Kenner wissen, ich sey durch alle Gegenden des subtilsten Grübelns durchgekommen.",1
