HitNo,Date,Genre,Bibl,URL,Hit,Sentiment
52582,1781,Gebrauchsliteratur,"Schröckh, Johann Matthias: Allgemeine Weltgeschichte für Kinder. Geschichte der Deutschen; Theil 3. Leipzig, 1781.",https://gei-digital.gei.de/viewer/image/PPN746267711/543,"Böhmen hat seinen Namen von den Bojern, einem gallischen oder keltischen Volke, welches bis gegen den Anfang de- ChristenthumS in diesem Land< saß, das daher Böheim oder Bosohemnm (die Heimat der Böser) hieß.",1
55459,1814,Gebrauchsliteratur,"Löhr, Johann Andreas Christian: Der erste Lehrmeister. Die Bewohner der Erde oder Beschreibung aller Völker der Erde; Theil 10. Leipzig, 1814.",https://gei-digital.gei.de/viewer/image/PPN776685589/233,"Sehnsucht nach der Heimath, Kummer und schlechte Kost, nebst der Angst, daß sie in Amerika zerhackt und zerstoßen würden, um Schießpulver aus ihren Knochen, Oehl aus ihrem Fette zu bereiten , reiben sie auf.",1
53167,1817,Gebrauchsliteratur,"Kohlrausch, Friedrich: Die teutsche Geschichte. [Abth. 2]; Abth. 2. Elberfeld, 1817.",https://gei-digital.gei.de/viewer/image/PPN750555742/86,"denn alle schweifen umher, ohne feste Sitze, ohne Heimath, ohne Gesetz und stehende Sitte, rmmer Flüchtlingen gleich; und die Weiber wohnen auf den Wagen, weben dort ihre groben Kleider und ziehen die Kinder groß.",1
53163,1817,Gebrauchsliteratur,"Kohlrausch, Friedrich: Die teutsche Geschichte. [Abth. 2]; Abth. 2. Elberfeld, 1817.",https://gei-digital.gei.de/viewer/image/PPN750555742/53,"""Sie seyen von den Sueven gezwungen worden, aus ihrer Heimath auszuwandern; sie verlangten nichts, als ein Land zum Wohnen; er möge ihnen die Felder lassen, die sie mit den Waffen eingenommen hätten, oder ihnen andere zutheilen.",1
70988,1820,Gebrauchsliteratur,"Stahel, Joseph; Goldsmith, Olivier: Dr. Goldsmiths' Geschichte der Römer von Erbauung der Stadt Rom bis zum Untergang des abendländischen Kaiserthums. [Theil 1, [Schülerbd.]]; Theil 1, [Schülerbd.]; Neue, sehr verb. Aufl. Würzburg, 1820.",https://gei-digital.gei.de/viewer/image/PPN863055494/359,"Er entließ die Gefangenen mit den größten Versicherungen der Freundschaft, die in Spanien geworbenen Krieger blieben in ihrer Heimat, die aus Italien gekommenen kehrten in ihr Vaterland zurück, ohne fernere Verpflichtung zum Kriegsdienst.",1
53323,1824,Gebrauchsliteratur,"Schmitthenner, Friedrich: Die Geschichte der Deutschen. Herborn, 1824.",https://gei-digital.gei.de/viewer/image/PPN751710725/63,"Dies sagt schon der Name Hain, der eben, wie Ha im (Haimath), aus Hag in zu^ammenge^ogen ist.",1
53350,1825,Gebrauchsliteratur,"Wiedemann, Georg Friedrich: Die allgemeine Menschen-Geschichte für die katholische Jugend. [Theil 2, Abth. 4]; Theil 2, Abth. 4. München, 1825.",https://gei-digital.gei.de/viewer/image/PPN751723282/157,"149 x - thiger, bey ihm auszuharren; andere hingegen schifften sich ein, denn er habe es ja erlaubt, und dringendere Pflichten lägen ihnen in der Heimath ob*).",1
26901,1825,Gebrauchsliteratur,"[N. N.]: Lehrbuch der neuern Staatengeschichte. Geschichte Deutschlands und Frankreichs; Theil 2, [Schülerband]. Wien, 1825.",https://gei-digital.gei.de/viewer/image/PPN1736272535/17,"Die Cimbern zerstreuten sich hierauf; ein Theil verstahl sich in den Bergen von Vicenza und Verona , und in den Gebirgen von Uri, Schwitß und Unterwalden; ein anderer Theil ging in die Heimath zurück.",1
26904,1826,Gebrauchsliteratur,"[N. N.]: Lehrbuch der neuern Staatengeschichte. Für die 1. Humanitätsklasse der k. k. Gymnasien; Theil 4, [Schülerband]. Wien, 1826.",https://gei-digital.gei.de/viewer/image/PPN1736617605/12,"Narchdem die Heimat der Juden , Palästina, von den Rdmern unterjocht, und ihr hoher Tempel zu Jerusalem zerstört worten war (70 nach Ch. G.), zerstreuten sich die Juden in alle Linder der Erde, wo sie noch jeßt als Fremdlinge leben. *)",1
53415,1827,Gebrauchsliteratur,"Nösselt, Friedrich: Lehrbuch der Weltgeschichte für Bürgerschulen und die mittleren Klassen der Gymnasien. [Theil 2]; Theil 2. Leipzig, 1827.",https://gei-digital.gei.de/viewer/image/PPN752390902/118,"106 rigkeit nach der Heimath zurück, und begehrte nie wieder in die Waldstädte zu kommen.",1
53197,1827,Gebrauchsliteratur,"Böttiger, Carl Wilhelm: Die allgemeine Geschichte für Schule und Haus; Dritte, vermehrte Auflage. Erlangen, 1827.",https://gei-digital.gei.de/viewer/image/PPN751095362/26,"Damit endete auch das 70jährige Babylonische Exil der Juden, aber nur die Aermern kehrten zur Heimath zurück.",1
53141,1827,Gebrauchsliteratur,"Meynier, Johann Heinrich: Erzählungen aus der Geschichte der europäischen Völker. [Theil 1]; Theil 1. Leipzig, 1827.",https://gei-digital.gei.de/viewer/image/PPN750544422/87,"71 und kehrten, stolz auf ihre Thaten und schwer mit Beute belastet, in ihre Heimath zurück.",1
57489,1837,Gebrauchsliteratur,"Cannabich, Johann Günther Friedrich: Hülfsbuch beim Unterrichte in der Geographie. [Bd. 2]; Bd. 2. Eisleben, 1837.",https://gei-digital.gei.de/viewer/image/PPN789074281/880,"Sobald sie sich dadurch ein Vermögen erworben haben, kehren sie in ihre Heimath zurück.",1
54194,1837,Gebrauchsliteratur,"Bauer, Ludwig Amandus: Allgemeine Weltgeschichte für alle Stände. Mit einem Stahlstich; Bd. 3. Stuttgart, 1837.",https://gei-digital.gei.de/viewer/image/PPN774791810/197,"191 denk, in die Heimath, andre starben an Krankheiten: den Rest führte Herzog Friedrich nach Antiochien, wo er vor dem Altare in St. Peters Münster die Eingeweide seines Vaters, und von da nach Tyrus, wo er die Ge. beine desselben beisetzte.",1
53104,1837,Gebrauchsliteratur,"Kappe, Ernst: Geschichten aus der Geschichte, das ist: Denkwürdigkeiten aus der Weltgeschichte. Meurs, 1837.",https://gei-digital.gei.de/viewer/image/PPN750434082/29,"""Wer irgend Lust hat, hieher zu kommen, -- wem es irgend in seiner Heimath nicht gefällt: der komme nur zu uns.",1
54428,1838,Gebrauchsliteratur,"Havemann, Wilhelm: Handbuch der Geschichte der Lande Braunschweig und Lüneburg. Lüneburg, 1838.",https://gei-digital.gei.de/viewer/image/PPN775150886/129,Lampadius kehrte nicht in seine Heimath zurück; die anhaltenden Anstrengungen wahrend des Friedensgeschaftes hatten seine letzten Kräfte aufgerieben; er endete im Jahre 1649 zu Münster.,1
54232,1839,Gebrauchsliteratur,"Bauer, Ludwig Amandus: Allgemeine Weltgeschichte für alle Stände. Mit einem Stahlstich; Bd. 6. Stuttgart, 1839.",https://gei-digital.gei.de/viewer/image/PPN774793198/464,"Zehntes Hauprstück. /""58 binnen 14 Tagen nicht in ihre Heimath kehren würden, drohte Napoleon mit Abbrennung der Häuser, mit Einzug des Vermögens; die Ungarn forderte er zur Wahl eines einheimischen Königs auf.",1
54237,1839,Gebrauchsliteratur,"Bauer, Ludwig Amandus: Allgemeine Weltgeschichte für alle Stände. Mit einem Stahlstich; Bd. 6. Stuttgart, 1839.",https://gei-digital.gei.de/viewer/image/PPN774793198/682,"Kaum hörte Jturbide von neuen Unruhen, welche Santa Anas schlecht befriedigter Ehrgeitz anzettelte, so reiste er von Livorno über England in seine Heimath, fand aber die Küsten schon besetzt, auf Befehl des zum Diktator ernannten Bravo, gerieth zu Goto Marino, wo er gelandet hatte, seinem persönlichen Feind la Garza in die Hände, und wurde nach kurzem Verhör, gemäß dem Willen des Eongreffes, den 18. Juli 1824 in Padilla füsiliert.",1
70839,1839,Gebrauchsliteratur,"Leo, Heinrich: Lehrbuch der Universalgeschichte. Die Einleitung und die alte Geschichte enthaltend; Bd. 1; 2. Aufl. Halle an der Saale, 1839.",https://gei-digital.gei.de/viewer/image/PPN844792527/364,"Da wandten sich die Gallier nach Aetolien, und 7000 Aetolier verließen das Heer und eilten zur Heimath.",1
53428,1839,Gebrauchsliteratur,"Nösselt, Friedrich: Lehrbuch der Weltgeschichte für Bürger- und Gelehrtenschulen. [Theil 3]; Theil 3; 2., sehr verm. und viel verb. Aufl. Leipzig, 1839.",https://gei-digital.gei.de/viewer/image/PPN755271262/569,"Der Kampf endigte mit ihrer völligen Niederlage; denn Mahmud ließ ihre Kasernen in Brand stecken; die nicht darin verbrannten, wurden aufgehangen; die Anführer hingerichtet, die Anderen in ihre Heimath geschickt; 8000 kamen ums Leben.",1
