HitNo,Date,Genre,Bibl,URL,Hit,Sentiment
4335,1840,Gebrauchsliteratur,"Roon, Albrecht von; Ritter, Carl: Grundzüge der Erd-, Völker- und Staatenkunde. Darstellung der allgemeinen Verhältnisse und Erscheinungen der Völkerkunde; I; 2., ganz umgearb. Aufl. Berlin, 1840.",https://gei-digital.gei.de/viewer/image/PPN775899666/92,"72 Absch"". i. Physiologische Mannigfaltigkeit und Einheit des Menschen. vorfänden, und daß manche Völker, namentlich die Amerikaner und Australier, eben so wie ihre Heimathländer, offenbar, wie man meint, eines neueren Ursprunges seyen, als die Bewohner und Länder der östlichen Hemisphäre.",1
4338,1840,Gebrauchsliteratur,"Roon, Albrecht von; Ritter, Carl: Grundzüge der Erd-, Völker- und Staatenkunde. Darstellung der allgemeinen Verhältnisse und Erscheinungen der Völkerkunde; I; 2., ganz umgearb. Aufl. Berlin, 1840.",https://gei-digital.gei.de/viewer/image/PPN775899666/444,"Sie hat ein dem Devanagari ähnliches Alphabet, und verräth, ungeachtet sie rauh ist wie ihr Heimathland, Ähnlichkeit mit den indo-chinesischen Sprachen.-- §. 6. ß.",1
4354,1846,Gebrauchsliteratur,"Kaltenbach, Johann Heinrich: Naturgemäßer Unterricht in der Erdkunde. Aachen, 1846.",https://gei-digital.gei.de/viewer/image/PPN776203770/136,"Sie sind durch die Kunst des Gärtners und den Fleiß des Landmannes so sehr verändert worden, daß man von vielen weder die Stammpflanze kennt, von der sie entnommen sind, noch ihr wahres Heimathland weiß.",1
4355,1846,Gebrauchsliteratur,"Kaltenbach, Johann Heinrich: Naturgemäßer Unterricht in der Erdkunde. Aachen, 1846.",https://gei-digital.gei.de/viewer/image/PPN776203770/161,"8. Noch andere Thiere sind genöthigt, ihr wahres Heimathland zu verlassen, weil sie nicht zu jeder Jahreszeit hinreichende Nahrung daselbst finden oder die strenge Winterkälte nicht ertragen können.",1
4408,1846,Gebrauchsliteratur,"Rotteck, Karl von: Allgemeine Geschichte vom Anfang der historischen Kenntniß bis auf unsere Zeiten. [Bd. 11]; Bd. 11; 4., verb. Aufl. Braunschweig, 1846.",https://gei-digital.gei.de/viewer/image/PPN780427912/36,"Das gleiche Schicksal traf die Mitglieder des Bundes, die anderen deutschen Staaten angehörten, in ihren Heimathländern.",1
4402,1855,Gebrauchsliteratur,"Kröger, Johann Christoph: Lehr- und Lesebuch für Schule und Haus. Für die dritte Bildungsstufe; Theil 3. Hamburg, 1855.",https://gei-digital.gei.de/viewer/image/PPN778440559/451,Der gesalbte Knabe kehrt ins Heimathland zurück und wiederholt nach wenigen Jahren dieselbe Fahrt mit derselben Sicherheit.,1
4403,1855,Gebrauchsliteratur,"Kröger, Johann Christoph: Lehr- und Lesebuch für Schule und Haus. Für die dritte Bildungsstufe; Theil 3. Hamburg, 1855.",https://gei-digital.gei.de/viewer/image/PPN778440559/491,"""Ich sage das nicht darum, daß so großen Häuptern meine Lehre und Unterweisung von nöthen sei, sondern daß ich meinem deutschen Heimathlande meinen Dienst nicht habe sollen und wollen entziehen.",1
4365,1856,Gebrauchsliteratur,"[N. N.]: Volksschul-Lesebuch. Schlesien; 2856. Breslau, 1856.",https://gei-digital.gei.de/viewer/image/PPN776709038/32,"Das erlauchte brandcnburgisch-hohenzollernsche Haus, unter dessen gcsegnetcm Scepter unser Heimathland jetzt steht, konnte damals seine Erbansprüche nicht geltend machen.",1
4404,1857,Gebrauchsliteratur,"Lauckhard, Carl F.: Vaterländisches Lesebuch. Jena, 1857.",https://gei-digital.gei.de/viewer/image/PPN780323513/216,"""Ich sage das nicht darum, daß so großen Häuptern meine Lehre und Unterweisung vonnöthen sei, sondern daß ich meinem deutschen Heimathlande meinen Dienst nicht haben sollen und wollen entziehen.",1
4351,1858,Gebrauchsliteratur,"Bock, Eduard; Schurig, Gottlob: Volksschul-Lesebuch. Geographie und Geschichte sämmtlicher Provinzen des Preußischen Staats; [Erg.]. Breslau, 1858.",https://gei-digital.gei.de/viewer/image/PPN776144472/104,"Das erlauchte brandenburgisch-hohenzollernsche Haus, unter dessen gesegnetem Scepter unser Heimathland jetzt steht, konnte damals seine Erbansprüche nicht geltend machen.",1
