HitNo,Date,Genre,Bibl,URL,Hit,Sentiment
1454,1872,Gebrauchsliteratur,"Bone, Heinrich: Deutsches Lesebuch. Handbuch für den deutschen Unterricht in den oberen Klassen der Gymnasien; Theil 2; 9. Aufl. Köln, 1872.",http://gei-digital.gei.de/viewer/image/PPN817739114/34,"13. Thanne sprah hludwig: herro, so duon ih, dot ni rette mir iz, al thaz thu gibiudist.",1
221,1874,Gebrauchsliteratur,"[N. N.]: Lesebuch für die Oberklassen der Elementarschulen in Elsaß-Lothringen. Straßburg, 1874.",http://gei-digital.gei.de/viewer/image/PPN1045324566/142,"Da richtete sieb eine Garbe auf und rief über den Acker hin: ""Lasst uns dem Herro ein Erntedankfest halten unter dem stillen Nachthimmell"" -- Und alle Garben richteten sich auf, und von ihrem Rauschen erwachten die Lerchen und Wachteln, die in den Stoppeln umher schlummerten.",1
1525,1876,Gebrauchsliteratur,"Keck, Karl Heinrich Christian: Deutsches Lesebuch für Bürger- und Mittelschulen. Für die oberste Stufe; Teil 3, [Schülerbd.]. Halle, 1876.",http://gei-digital.gei.de/viewer/image/PPN891959076/44,"Da donnerte der erste Signalschuss zur Abfahrt, und das Boot, voelohes den alten Jansen zum Sehiffe führen sollte, hatte eben gelandet, Noch einmal drücekte er seinem Herro die Hände, dann stieg er schnell 1",1
1541,1881,Gebrauchsliteratur,"[N. N.]: Deutsches Lesebuch für Volks- und Bürgerschulen. [[2] = Mittelstufe, [Schülerbd.]]; [[2] = Mittelstufe, [Schülerband]]; Ausgabe B, 2. Auflage. Hannover, 1881.",http://gei-digital.gei.de/viewer/image/PPN893753866/217,"Der Knabe häelt ibn wohl für einen reichen Herro, ob er gleich nicht wubte, daß es der Kaiser sei, und dachte:",1
231,1882,Gebrauchsliteratur,"[N. N.]: Lesebuch für die Oberklassen katholischer Volksschulen; Dritte Auflage. Dortmund, 1882.",http://gei-digital.gei.de/viewer/image/PPN1066503443/104,"""Mozu ieh sie anwvende, das werde ieh dem Herro gleieh sagen.",1
1440,1884,Gebrauchsliteratur,"Deycks, Ferdinand; Kiesel, Karl: Deutsches Lesebuch für die oberen Klassen höherer Schulen; 6. Aufl. Leipzig, 1884.",http://gei-digital.gei.de/viewer/image/PPN817008136/24,"15 Thia zit er eiscota tho (uuas er es harto filu fro), thia stunta ouh mit giuuurti, uuanne imo baz vuurti. 16 ""Herero zellen uuir thir thaz, tho sibunta zit thes dages uuas, gesteren, so sie sahun, tho uuard er ganzer gahun. 17 Ni zuiuolo muat thinaz: sus findist thu iz gidanaz, findist zi alauuare then liobon drost sus thare.",1
1441,1884,Gebrauchsliteratur,"Deycks, Ferdinand; Kiesel, Karl: Deutsches Lesebuch für die oberen Klassen höherer Schulen; 6. Aufl. Leipzig, 1884.",http://gei-digital.gei.de/viewer/image/PPN817008136/26,"Brist, der unser herro guot, 10 wi manige ceichen her uns vure duot, Als' er uff'in Sigeberg' havit gedän durch den diurlichen man, den heiligen bischof Annen, durch den sinin willen.",1
602,1885,Gebrauchsliteratur,"Richter, Albert: Quellenbuch. Leipzig, 1885.",http://gei-digital.gei.de/viewer/image/PPN666307512/66,"2)er Eid des deutschen Volkes lautet: ""Oba Karl then eid, then er sinemo bruodher Ludhuwige gesuor, geleistit indi Ludhuwig min herro then er imo gesuor forbrichit, ob ih inan es irwenden ne mag, noh ih noh thero nohhein the ih es irwenden mag, widhar Karle imo ce follusti ne wirdhit,""",1
744,1887,Gebrauchsliteratur,"Baumgarten, Johannes: Deutsch-Afrika und seine Nachbarn im schwarzen Erdteil. Berlin, 1887.",http://gei-digital.gei.de/viewer/image/PPN720566320/446,"426 Deutsch-Südwestcifrika. auf 50000, der Herero aus 80000 an, während die noch ganz unabhängigen Ovambo 98000, die Damara 150000 zählen sollen.",1
769,1887,Gebrauchsliteratur,"Baumgarten, Johannes: Deutsch-Afrika und seine Nachbarn im schwarzen Erdteil. Berlin, 1887.",http://gei-digital.gei.de/viewer/image/PPN720566320/467,"Daß die Annahme europäischer Kleidung seitens dieser einzelnen Heiden nicht dem Einflüsse des Handels zugeschrieben werden kann, geht daraus hervor, daß auf dem Felde, fern von den Stationen, kein einziger Herero sich einfallen läßt, europäische Kleidung zu tragen.",1
1390,1890,Gebrauchsliteratur,"Weidemann, D.: Dr. Kühners Neuer thüringischer Kinderfreund. [Teil 2]; Teil 2; 8. Aufl. Hildburghausen, 1890.",http://gei-digital.gei.de/viewer/image/PPN799334952/42,i ut daie Arbeit ohn' Gebeiss mit Ernst und einem e als ob die Sachen seines Herro i aWen Puntte ne war'n.,1
286,1896,Gebrauchsliteratur,"Martens, Wilhelm: Leitfaden der Geschichte für die mittleren Klassen höherer Lehranstalten. Geschichte des Mittelalters und der Neuzeit; Teil 2. Hannover, 1896.",http://gei-digital.gei.de/viewer/image/PPN624664988/335,"Lange v herro 85 U Up <' .'land �iyanesiar Karls des Grossen Reich u.dessen Te i I u n g durch den Verlraq v.Verd u n. c=3 Lof-hairs v i , c=i Ludwias vAnfreil.",1
681,1896,Gebrauchsliteratur,"Ule, Willi: Lehrbuch der Erdkunde für höhere Schulen. Für die mittleren und oberen Klassen; Teil 2. Leipzig, 1896.",http://gei-digital.gei.de/viewer/image/PPN720214424/279,"Sudanueger männer Araber, Abessiuier Fnlbe oder Fellata Malaien Hamiten: Bantnneger Hovas Ägypter, Berber Kongoneger, Dnalla, Mauren, Nubier, Suaheli, Herero, Somal, Galla, Kaffern, Sakalaveu Tuarik, Tubu Australien und Ottamen.",1
130,1898,Gebrauchsliteratur,"Fiehn, Wilhelm; Schaefer, H.; Schuster, Albert; Kohts, Robert; Meyer, Karl Waldemar: Deutsches Lesebuch für höhere Lehranstalten. [Teil 5 = (Ober-Tertia), [Schülerband]]; Teil 5 = (Ober-Tertia), [Schülerband]; Siebente Auflage, nach den neuen Lehrplänen. Hannover, 1898.",http://gei-digital.gei.de/viewer/image/PPN1027627455/126,"Nur eine Veranlassung giebt es, bei welcher der Herero des geliebten Viehes nicht schont.",1
852,1898,Gebrauchsliteratur,"Tromnau, Adolf: Lehrbuch der Schulgeographie. Die fremden Erdteile; Teil 2, Abt. 1. Halle a.d.S., 1898.",http://gei-digital.gei.de/viewer/image/PPN722597649/107,"-- 97 -- einen Fürsten der Herero giebt es kein größeres Vergnügen, als znznsehen, wie seine Rinder getränkt werden.",1
1435,1899,Gebrauchsliteratur,"Kehrein, Joseph; Kehrein, Valentin: Deutsches Lesebuch für Gymnasien, Seminarien, Realschulen. Altdeutsches Lesebuch; Teil 1. Leipzig, 1899.",http://gei-digital.gei.de/viewer/image/PPN816862990/49,"13. Thanne sprah Hluduig: Herro, so duon ih, Dot ni rette mir 13 Al tha3 thü gibiudist.",1
1436,1899,Gebrauchsliteratur,"Kehrein, Joseph; Kehrein, Valentin: Deutsches Lesebuch für Gymnasien, Seminarien, Realschulen. Altdeutsches Lesebuch; Teil 1. Leipzig, 1899.",http://gei-digital.gei.de/viewer/image/PPN816862990/55,"Uuer uuirdit rehtere kikagenma^^it demo hausherren, denne unser herro der heilige Christ? der dir richtet alla, die er kiscuof, also der hausherro rilltet die imo Untertanen.",1
1438,1899,Gebrauchsliteratur,"Kehrein, Joseph; Kehrein, Valentin: Deutsches Lesebuch für Gymnasien, Seminarien, Realschulen. Altdeutsches Lesebuch; Teil 1. Leipzig, 1899.",http://gei-digital.gei.de/viewer/image/PPN816862990/61,"Ezzos Gesang. 45 Nau sis uns willekomen, lieber herro, der dau in den kirclien stast scono ! Kyrie eleison.",1
1488,1901,Gebrauchsliteratur,"Lund, Heinrich; Suhr, Wilhelm: Das Vaterland. [[Teil 2], Oberstufe, Teil 2]; [Teil 2], Oberstufe, Teil 2. Kiel, 1901.",http://gei-digital.gei.de/viewer/image/PPN820653314/274,"Schon in Berlin war uns gesagt worden, dass der trotzige Namafürst Hendrik Witboi nach dem Friedensschlüsse mit den Herero die deutsche Schutzherrschaft nicht anerkennen wolle.",1
863,1902,Gebrauchsliteratur,"Schöne, Emil; Tromnau, Adolf: Adolf Tromnaus Lehrbuch der Schulgeographie. Die fremden Erdteile; Abt. 1; von Emil Schöne. Halle a. d. S., 1902.",http://gei-digital.gei.de/viewer/image/PPN722907834/120,"Ein Stück von der Herde _ schlachtet sowohl der Herero als auch der Nama nur ungern, eigentlich nur bei Festlichkeiten.",1
233,1903,Gebrauchsliteratur,"[N. N.]: Deutsche Jugend. [Teil 3 = 4. Schuljahr, [Schülerband]]; Teil 3 = 4. Schuljahr, [Schülerband]; 5. Auflage. Braunschweig, 1903.",http://gei-digital.gei.de/viewer/image/PPN1666901903/122,"Das tat der Schalk denn auch im eigentlichen Sinne und warf in Abwesenheit seines Herro Stühble und Tische, Banke und Hausgerät zum Hause hinaus.",1
