HitNo,Date,Genre,Bibl,URL,Hit,Sentiment
7694,1804,Gebrauchsliteratur,"Raabe, Heinrich August: Leitfaden zur Weltgeschichte. Braunschweig, 1804.",https://gei-digital.gei.de/viewer/image/PPN773571124/225,"*Äon allen Feinden, mit welchen da< römische orientalische Kaiserreich, seit der theodosianischen Theilung vom Jahre 395, kämpfen mußte, wurden ihm die Türken endlich am gefährlichsten.",1
7509,1811,Gebrauchsliteratur,"Voigtel, Traugott Gotthilf; Remer, Julius August: Julius August Remer's Lehrbuch der allgemeinen Geschichte für Akademieen und Gymnasien. Halle an der Saale, 1811.",https://gei-digital.gei.de/viewer/image/PPN751104515/670,"Ein Senatuskonsult vom i7ten Febr. 1812 theilte das Land in zwey Departements, erhob Rom zur zweyten Stadt des Kaiserreiches, legte dem französischen Kronprinzen den Titel eines Königs von Rom bey, und unterwarf den Papst den vier Propositionen der gallikanischen Kirche. $. 20. Veränderungen in Italien.",1
7395,1818,Gebrauchsliteratur,"Müller, Johann Kaspar; Hohn, Karl Friedrich: Dr. Johann Kaspar Müller's Lehrbuch der Weltgeschichte. Bamberg, 1818.",https://gei-digital.gei.de/viewer/image/PPN749554789/526,"Welchen Zuwachs bekam das Herzogthum Berg, das Königreich Holland, das französische Kaiserreich, und das Königreich Iralien? -- Welche neue Könige gab der Kaiser den Spaniern und Neapolitanern? -- Welche wichtige Zusammenkunft hielt er in Erfurt? --",1
7396,1818,Gebrauchsliteratur,"Müller, Johann Kaspar; Hohn, Karl Friedrich: Dr. Johann Kaspar Müller's Lehrbuch der Weltgeschichte. Bamberg, 1818.",https://gei-digital.gei.de/viewer/image/PPN749554789/527,"-- Zu Schönbrunn ließ er am 27. Decemb. kund machen, daß dis 1806. neapolitanische Dynastie aufgehört habe zu 12. Jän. regieren; und aus R-ünchen schickte er ein Schreiben an den Senat, durch welches sein Stiefsohn, Eugen Beaudarnois, Vicekönig von Italien, adoptirt und zum Thronfolger in diesem Reiche ernannt; dabey aber die Bestimmung über das gemeinschaftliche Band aller ^öderativstaattn des fränkischen Kaiserreichs Vorbehalten wird.",1
761,1823,Gebrauchsliteratur,"[N. N.]: Lehrbuch der neuern Staatengeschichte. [Theil 1, Curs 2, [Schülerband]]; Theil 1, Curs 2, [Schülerband]. Wien, 1823.",https://gei-digital.gei.de/viewer/image/PPN1736271814/111,"Napoleon erklärte sich als Protektor dieses Bui.des, welcher den Nahmen des Rheinb undes erhielt, und bald die gänzliche Auslösung des fast tausendjährigen deutschen Kaiserreiches herbeyfühite , ba Kaiser Franz II. (180% den 6. August) die römisch - deutsche Kaiserwürde niederlegte , welche seit 533 Jahren 21 Fürsten seines Hauses durch die Wahl der Churfürsten getragen hatten.",1
7341,1825,Gebrauchsliteratur,"Haacke, Christoph Friedrich Ferdinand: Lehrbuch der Staatengeschichte des Alterthums und der neuern Zeiten. Mittlere und neue Geschichte; Theil 2; Dritte, verbesserte und ergänzte Auflage. Stendal, 1825.",https://gei-digital.gei.de/viewer/image/PPN745451055/386,Seitdem vergrößerte Napoleon ra'^ irnb unersättlich sein Kaiserreich selbst mitten im Frieden Der H. von Enguien wurde vom badenschen Gebiete gewaltsam weggeführt und hingerichtet 1804.,1
768,1826,Gebrauchsliteratur,"[N. N.]: Lehrbuch der neuern Staatengeschichte. Für die 1. Humanitätsklasse der k. k. Gymnasien; Theil 4, [Schülerband]. Wien, 1826.",https://gei-digital.gei.de/viewer/image/PPN1736617605/28,.. Vergebens suchten die christlichen Mächte den Strom seiner Eroberungen zu brechen und das griechiscl;je Kaiserreich vor,1
769,1826,Gebrauchsliteratur,"[N. N.]: Lehrbuch der neuern Staatengeschichte. Für die 1. Humanitätsklasse der k. k. Gymnasien; Theil 4, [Schülerband]. Wien, 1826.",https://gei-digital.gei.de/viewer/image/PPN1736617605/29,"Durch die Einnahme von Morea, Macedonien, Thracien,, Bosnien und Epirus, wurde das alte griechische Kaiserreich gänzlich vernichte.",1
7488,1826,Gebrauchsliteratur,"Gittermann, Rudolph Christoph: Kleine Geschichte von Ostfriesland für die Schule und das Haus; 2., verm. und verb. Aufl. Emden, 1826.",https://gei-digital.gei.de/viewer/image/PPN750433485/185,"Alle bisher noch unverändert bestandenen richterlichen Behörden wurden aufgehoben und die Justiz ward nunmehr ganz nach den Gesetzen des Kaiserreichs, dem Civilcoder (Code Napoleon,), der Prozeßordnung (Code de procedure civile), dem Gesetzbuch von Verbrechen und Strafen (Code penal), der Criminal-Prozeßordnung (Code d'instruction criminale) und dem Handelsgesetzbuch (Code de commerce) ausgeübt.",1
7683,1826,Gebrauchsliteratur,"Seel, Heinrich: Lehrbuch der Vaterlands-Geschichte, von der Urzeit bis auf unsere Tage, für Baierns Volks-Schulen. Kempten, 1826.",https://gei-digital.gei.de/viewer/image/PPN773567364/302,"Die Bourbone im Besitz der französi. scheu HeereSmacht stohen verwirrt aus Paris, Napo. leon öffnete sich, unter Jubelruf alles Volkes in Frankreich frei Len Weg in die Tuillerien, und die Truppen, die man gegen ihn auSziehen ließ, verherrlichten am 20. März seinen Triumpheinzug in der Hauptstadt des wie- Lergebornen französischen Kaiserreichs.",1
