HitNo,Date,Genre,Bibl,URL,Hit,Sentiment
34703,1741,Gebrauchsliteratur,"Schatz, Johann Jacob; Hübner, Johann; Wormßer, Johann Ludwig: Erste Anfangs-Gründe Der Geographie. Nürnberg, 1741.",https://gei-digital.gei.de/viewer/image/PPN746461216/118,Was bedeutet ein Clima unter den Gelehrten ?,1
34825,1787,Gebrauchsliteratur,"Hammerdörfer, Karl; Kosche, Christian Traugott: Europa. Afrika; Bd. 4. Leipzig, 1787.",https://gei-digital.gei.de/viewer/image/PPN746634293/762,"Daö Klima lst hier außerordentlich schlecht, und giebt den Speisin eine sehr schädliche Eigenschaft, daß die gewiß sterben, welche nicht recht behutsam von europäischen Speisen zu diesen übergehen.",1
34823,1787,Gebrauchsliteratur,"Hammerdörfer, Karl; Kosche, Christian Traugott: Europa. Afrika; Bd. 4. Leipzig, 1787.",https://gei-digital.gei.de/viewer/image/PPN746634293/614,"Dieses eben nicht große Landchen hat wegen der durch den Fluß gebildeten stehenden Wasser, ein sehr ungesundes Klima , dessen schädliche Einflüsse besonders die Europäer empfinden , welche, wenn sie nur einigermaßen wider die Diät fehlen, oder sich nicht für dem Abendthau hüten, von sehr gefährlichen Krankheiten befallen werden.",1
34697,1791,Gebrauchsliteratur,"Engel, Moritz Erdmann: Neues Handbuch der Geographie. Leipzig, 1791.",https://gei-digital.gei.de/viewer/image/PPN746447248/167,"-- Portugal hat mit Spanien in Ansehung des Klimas, der Produkte, der Künste u. Wisserrsch. der Religion u. Sprache viel Aehnlichkeit, nur scheint es, als ob ferne Bewohner zu Benutzung der Geschenke der Natur, zu Manuf. und Fabr.u. zum Handel noch träger "".unaufgelegter wären, als die Spanier. Portugal (in den ältesten Zeiten Lusitanien) hatte auch bis 1139 als span. Provinz mitSp. einerleyHerrn u Schicksale Alvhons!. nahm den konigl.",1
34917,1795,Gebrauchsliteratur,"Funke, Carl Philipp: Allgemeines Lehrbuch für Bürgerschulen. [Bd. 1]; Bd. 1. Berlin, 1795.",https://gei-digital.gei.de/viewer/image/PPN747217432/543,"Das Pferd, welches weder in einem zu heissen, noch in einem zu kalten Klima gedeihet.",1
40094,1805,Gebrauchsliteratur,"Röder, Philipp Ludwig Hermann: Erdbeschreibung von Europa. Reutlingen, 1805.",https://gei-digital.gei.de/viewer/image/PPN776100181/698,"Gr. 20 Min., bis 48 Grad der Breite, cs hat also mit Ungarn gleiche Polhöhe, gleiches Klima und Fruchtbarkeit.",1
40058,1805,Gebrauchsliteratur,"Röder, Philipp Ludwig Hermann: Erdbeschreibung von Europa. Reutlingen, 1805.",https://gei-digital.gei.de/viewer/image/PPN776100181/351,"Sie enthalten einerlei Klima / schlechtes Land und Gebirge/ mit der obern Pfalz gleich, und sind in aller Rüksicht unbedeutend/ nur daß sie die bai, ernschen Besizungen in der obern Pfalz arrondiren.",1
35262,1806,Gebrauchsliteratur,"Pölitz, Karl Heinrich Ludwig: Die Weltgeschichte. [Theil 1]; Theil 1; Neue Ausgabe. Leipzig, 1806.",https://gei-digital.gei.de/viewer/image/PPN752379305/70,"Medien, ein sehr fruchtbares, von Gebirgen umgrenz tes Land, war, ehe es von den Persern erobert wurde, ohngefahr am Umfange und Klima Spanien gleich.",1
35261,1806,Gebrauchsliteratur,"Pölitz, Karl Heinrich Ludwig: Die Weltgeschichte. [Theil 1]; Theil 1; Neue Ausgabe. Leipzig, 1806.",https://gei-digital.gei.de/viewer/image/PPN752379305/67,"Der Orient ist überhaupt die Wiege der überspannten asceli schen Begriffe, und eln geringer Grad religiöser Bildung, dann das Uebergewicht der nieder"" Seelenkcäfte über die höhern, so wie der Einfluß des Klima und des Bodens auf die erflern, der nächste, wenn gleich nicht der einzig Grund des unrhatigen, beschaulichen Lebens der Schwärmer, die in Indien die Namen Schamanen und Gymnosophisten führen, von denen sich einer schon zu Alexanders Zeiten lebendig verbrannte.",1
37867,1806,Gebrauchsliteratur,"Gaspari, Adam Christian: Lehrbuch der Erdbeschreibung. [Cursus 1]; Cursus 1; 8., verb. und nach den neuesten geograph. Veränderungen berichtigte Aufl. Weimar, 1806.",https://gei-digital.gei.de/viewer/image/PPN775889946/332,"Gebirg 67, 2lZ Ladronen 319 222 / Lago maggiore 116 Karthago 279 La Plata 290 Kasan 268, 269 Lappland 197 Ka pisckes Meer 239 Lausitz 164, 159 Kassel 152 Leck 167 Katharinenburg 269 Leiden 171 K Utegat 69 Leipzig 159 Kaukasus 237' 265 Lemberg 82, 219 Kirchenstaat 125 Lena 239, 270 Klein - Asten 250 Lesbos 254 Klima 37 Levante 255 Ko bi 266 Leverpool 183 Köhlen 187' '95 Libanon 253 Köln IOZ Ligurische Republik 104 König Georg drS Drit.",1
