HitNo,Date,Genre,Bibl,URL,Hit,Sentiment
32067,1731,Gebrauchsliteratur,"Hederich, Benjamin: Reales Schul-Lexicon; Andere und vermehrtere Aufl. Leipzig, 1731.",http://gei-digital.gei.de/viewer/image/PPN746695683/115,"Sie ist zuerst von den Milesiern erbauet, hernach aber von den Atheniensern mit einer neuen Colonie vermehret worden, und ?ass.rete lange Zeit vor cine freye Stadt, bis sie von den Pontische Königen unterdrückt worden, welche aber dagegen ihre Resideutz daselbst auaeleget, also, daß sie auch nur solchem nach für eine dcr vornchmstcn Städte solcher Gegend pafliren kunte, und mithin mit unrecht von dem Strabone a|""oAo, i. e. illuflris genannt wird.",1
32079,1731,Gebrauchsliteratur,"Hederich, Benjamin: Reales Schul-Lexicon; Andere und vermehrtere Aufl. Leipzig, 1731.",http://gei-digital.gei.de/viewer/image/PPN746695683/239,"Athcnodorus, ein Grieche,wurde von derriAiexandroM. mit einer Colonie ?HBa&rianam verleget, weil er aber mit seines Gleichen lieber wieder zurück in Griechenland gewesen war, erregte er einen Aufstand, warf sich für einen König auf, und suchte feinen Anhang auf solche Art wieder heimzuführeu.",1
32109,1731,Gebrauchsliteratur,"Hederich, Benjamin: Reales Schul-Lexicon; Andere und vermehrtere Aufl. Leipzig, 1731.",http://gei-digital.gei.de/viewer/image/PPN746695683/543,"Decurione! waren in den Colonisti fv viel/ als die Senatore;, oder Rachs-Herren zu Rom/ welche/nach einigen/den Nahmen daher haben sollen, daß von einer gantzen Colonie ehemahlsderzehendeTheil zum Rache derselben erwehlet wvrden,welcher Nähme denn hernach blieb, vb wohl solche Eintherlung nicht mehr so genau obfemiret wurde.",1
32132,1731,Gebrauchsliteratur,"Hederich, Benjamin: Reales Schul-Lexicon; Andere und vermehrtere Aufl. Leipzig, 1731.",http://gei-digital.gei.de/viewer/image/PPN746695683/952,"Megara, eine Stadt liiSk'er'lien/welcheehemahls Hy bla hieß, allein, als die von Megari"" aus Griechen-Land solches mit einer colonie ihrer Leute besetzeten, es von ihrem Vaterlande auch Megara nattktkn.",1
31577,1741,Gebrauchsliteratur,"Schatz, Johann Jacob; Hübner, Johann; Wormßer, Johann Ludwig: Erste Anfangs-Gründe Der Geographie. Nürnberg, 1741.",http://gei-digital.gei.de/viewer/image/PPN746461216/174,"Die Stadtist vstt . dem Fluß in zwey Theile abgesondert. z. Frankfurt an ver Gver ( Francofurtnm ad Oderamf* Viadrttm ) CttlC schöne HüNdkl ' Stadt , sl> jährlich dren Messen hat, auch nebst einer Französischen Colonie mit einer berühmten Universität versehen ist. st.",1
31594,1753,Gebrauchsliteratur,"Hübner, Johann: Johann Huebners, J. U. L. Vollständige Geographie. Von Dänemarck, Norwegen, Schweden, Preussen, Polen, Rußland, Ungarn, Türckey, Asia, Africa, America, und von den unbekannten Ländern; Theil 2; Siebente und verbesserte Auflage. Leipzig], 1753.",http://gei-digital.gei.de/viewer/image/PPN74657763X/47,"König CHRISTIANUS V. versatzte eine kleine Colonie von dieser Insul nach Seeland , daß sie daselbst eine viertel Meile von Loppenbnn^en vor dem Wester-Thore auf dem Wege nach Rothfchiid ein neues Garten ""Merck anleg,en sollten.",1
31573,1776,Gebrauchsliteratur,"Schatz, Johann Jacob: Examen Geographicum. Das ist Auserlesene Fragen aus der Geographie, Deren Beantwortung aus einem jeden wohleingerichteten Geographischen Systemate mag genommen werden. Leipzig, 1776.",http://gei-digital.gei.de/viewer/image/PPN746453914/91,"Wo haben die Portugiesen ihren Vice Pxoi und Inquifirions ' Gericht? wo hat die Englische Colonie ihre Haupt-Niederlage? wo und seit wann habe"" Hie Danen ihr MiMons-WEk angelegt?",1
31526,1777,Gebrauchsliteratur,"Pfennig, Johann Christoph: Anleitung zur gründlichen und nützlichen Kenntniß der neuesten Erdbeschreibung, nach den brauchbarsten Landkarten, vornemlich zum Unterricht der Jugend verfertiget; Zweyte, durchgängig vermehrte und verbesserte Ausgabe. Stettin, 1777.",http://gei-digital.gei.de/viewer/image/PPN74644169X/395,"Vielmehr scheint es, daß sie diese südlichen resten Lander sich nur aufbehalten wollen, wenn etwa, durch dem Wechsel aller Dinge, die jetzigen Quellen ihrer Macht verstopft werden sollen; dahero auch die holländischostim dische Compagnie die Anrichtung und den Fortgang emer Kolonie, von einer jeden andern Nation mit aller Macht zu hemmen suchen würde. A a Amnerk.",1
31523,1777,Gebrauchsliteratur,"Pfennig, Johann Christoph: Anleitung zur gründlichen und nützlichen Kenntniß der neuesten Erdbeschreibung, nach den brauchbarsten Landkarten, vornemlich zum Unterricht der Jugend verfertiget; Zweyte, durchgängig vermehrte und verbesserte Ausgabe. Stettin, 1777.",http://gei-digital.gei.de/viewer/image/PPN74644169X/389,"In den cngländischcn Kolonien sind nebst de Englisch- und ftanzösischrefvrnnttcn viele Lutheraner, Quaker, Wikdettäufer, Herrnhuther, auch Juden die zu Neuyork und Neuport Synagogen haben, und in Yen neuen Eroberungen von deu Franzosen und Spaniern viele Katholiken, In Surinam haben dre Lutheraner Kirchen und die Inden Synagogen.",1
31639,1784,Gebrauchsliteratur,"Hammerdörfer, Karl; Kosche, Christian Traugott: Europa. West- und Süd-Europa; Bd. 1. Leipzig, 1784.",http://gei-digital.gei.de/viewer/image/PPN746586302/57,"Unglücklicherweise war Spanien gerade in dflt blutigen Krieg mit seinen niederländischen Provinzen verwickelt, imb diese suchten ihre Seemacht, so wie ihre ausländischen Kolonien, auf den Trümmern der portugiesischen zu gründen.",1
