HitNo,Date,Genre,Bibl,URL,Hit,Sentiment
4458,1822,Gebrauchsliteratur,"Eisenmann, Joseph Anton: Lehrbuch der allgemeinen Geographie; 2., berichtigte Aufl. München, 1822.",http://gei-digital.gei.de/viewer/image/PPN775846848/124,"li6 Mitteleuropa. großherzoglkch - hessischen Gebiete eingeschlossen, und auS der Herrschaft Meisen he im jenseits des Rheins, und enthalt 5 Q. M., mit 19,441 Einwohnern grdßtentheils protestantischer Confession.",1
4427,1832,Gebrauchsliteratur,"Volger, Wilhelm Friedrich: Lehrbuch der Geographie. Leitfaden beim ersten Unterricht in der Länder- und Völkerkunde für Gymnasien und Bürgerschulen; Cursus 1; 5., verb. Aufl. Hannover, 1832.",http://gei-digital.gei.de/viewer/image/PPN775843008/33,"Holz ist nur in Norwegen, Schweden, Mittclrußland, Polen, S. Deutschland, Ungarn und in der Türkei in Überfluß; Kartoffeln werden in Nord- und Mitteleuropa, nirgend mehr als in Deutschland, gebauet.",1
4576,1832,Gebrauchsliteratur,"Cammerer, Anselm Andreas Caspar: Lehrbuch der neuesten Erdkunde; 6., verb. u. stark verm. Aufl. Kempten, 1832.",http://gei-digital.gei.de/viewer/image/PPN775886378/100,"'JO Mitteleuropa. zur evangelischen Kirche; Katholiken gibt cs über 15.000, Mennonlten über 300, Juden über 9000. §. 2. B - dcli uni) Gebirge.",1
4585,1832,Gebrauchsliteratur,"Cammerer, Anselm Andreas Caspar: Lehrbuch der neuesten Erdkunde; 6., verb. u. stark verm. Aufl. Kempten, 1832.",http://gei-digital.gei.de/viewer/image/PPN775886378/134,"124 Mitteleuropa. deutsche Meer, dessen Küsten so niedrig sind, daß sie allenthalben durch künstliche Dämme gegen Ueberschwemmunqen geschützt werden müßen.",1
4651,1837,Gebrauchsliteratur,"Apel, Gottlieb: Leitfaden zum Unterricht in der Geographie. Magdeburg, 1837.",http://gei-digital.gei.de/viewer/image/PPN776196782/41,"-- Wie heißen die Gebirge, Vorgebirge, Meerbusen, Meerengen, Landseen, Flüsse, Inseln und Halbinseln Europas? -- Welche Länder liegen 1) in Nordeuropa, 2) in Mitteleuropa und 3) in Südeuropa? -- Welche Länder Europa'ö grenzen an Deutschland? --",1
4404,1844,Gebrauchsliteratur,"Bumüller, Johannes: Die allgemeine Geschichte für Gymnasien und ähnliche Schulen. Belle-Vue bei Constanz, 1844.",http://gei-digital.gei.de/viewer/image/PPN75109904X/255,Die Muhamedaner bedrohen Mitteleuropa.,1
4654,1846,Gebrauchsliteratur,"Kaltenbach, Johann Heinrich: Naturgemäßer Unterricht in der Erdkunde. Aachen, 1846.",http://gei-digital.gei.de/viewer/image/PPN776203770/42,"Wie viele Gewitter finden bei uns? in Grönland? in Norwegen und Schwede""? im gebirgigen Mitteleuropa statt? --",1
4915,1857,Gebrauchsliteratur,"Schneider, Karl Friedrich Robert: Handbuch der Erdbeschreibung und Staatenkunde in ihrer Verbindung mit Natur- und Menschenkunde. Die europäisch-germanischen Staaten; Theil 1, Abth. 2, 1, A. Glogau [u.a.], 1857.",http://gei-digital.gei.de/viewer/image/PPN789611023/67,"609 Südeuropa: Spanien und in Portugal 40, Italien, Griechenland und die Türkei 30, Neapel 33, lombardisch-venetianisches Königreich 28; Mitteleuropa: Frankreich 38 -- 40, Niederlande 39 -- 40, Belgien 42, Preußen 35 -- 37'/2, Hannover 38, Meklenburg - Schwerin 46, Sachsen 33, Baden 38, Würtemberg 29 -- 32, Oesterreich 36, Schweiz 39--40; Nordeuropa: Großbritannien 46 -- 50, Norwegen und Dänemark 41, Schweden 40 -- 45, Island 32, Rußland 39. -- 4. Geburten und Todesfälle, die Mehrgeburten. §. 17.",1
4667,1859,Gebrauchsliteratur,"Pütz, Wilhelm: Charakteristiken zur vergleichenden Erd- und Völkerkunde. [Bd. 1]; Bd. 1. Köln, 1859.",http://gei-digital.gei.de/viewer/image/PPN776564048/11,Seite 244247260 264 267 270 274 279 281 282 b. Mitteleuropa.,1
4507,1862,Gebrauchsliteratur,"Pütz, Wilhelm: Lehrbuch der vergleichenden Erdbeschreibung; 4., verb. Aufl. Freiburg im Breisgau, 1862.",http://gei-digital.gei.de/viewer/image/PPN775871524/298,"-- Preußen theilt sich mit Oesterreich in den Osten von Mitteleuropa, d. h. in diejenigen Länder,. wo das germanische und slavische Element sich",1
