HitNo,Date,Genre,Bibl,URL,Hit,Sentiment
1160,1832,Gebrauchsliteratur,"Volger, Wilhelm Friedrich: Lehrbuch der Geographie. Vergleichende Darstellung der alten, mittleren und neuen Geographie; Cursus 3. Hannover, 1832.",http://gei-digital.gei.de/viewer/image/PPN775843962/91,"Das Gebiet desselben umfaßt das ganze Germanische Hochland (mit Ausnahme eines Theils in NW. an der Mosel und Maas), fast den ganzen östlichen Theil des Alpenlandes (§. 101) und einen großen Theil des westlichen Mitteleuropäischen Tieflandes Lage; zwischen 45 und 55° N. 22^ und 37° O. Granzlander.",1
1180,1852,Gebrauchsliteratur,"[N. N.]: Das Königreich Hannover. Hannover, 1852.",http://gei-digital.gei.de/viewer/image/PPN776425196/30,"Auch gewaltige Felsblöcke der norwegischen Gebirge finden sich auf dem mitteleuropäischen Gebiete zerstreuet und zeugen von der Gewalt der Fluthen, die sie so weithin zu verschlagen vermochten.",1
1422,1868,Gebrauchsliteratur,"Guthe, Hermann: Lehrbuch der Geographie für die mittleren und oberen Klassen höherer Bildungsanstalten sowie zum Selbststudium; 2. Aufl. Hannover, 1868.",http://gei-digital.gei.de/viewer/image/PPN845007467/73,"Aehnliches war einst mit den skandinavischen Gletschern der Fall, und die Sandmassen und losen Felsblöcke, welche das große mitteleuropäische Tiefland bedecken (die sog. erratischen und Findlingsblöcke) sind durch solche schwimmenden Glctscherbruchstücke über das damals noch mit Meer bedeckte Land geführt.",1
1188,1869,Gebrauchsliteratur,"[N. N.]: Lesebuch der Erdkunde. Die Außenländer Europa's und die übrigen Welttheile; 2. Calw [u.a.], 1869.",http://gei-digital.gei.de/viewer/image/PPN776687077/282,"§ 478. Ehe wir das gesammte Europa überschauen, ist in Folge des deutschen Krieges vom I. 1866 ein kurzer Abriß derjenigen Aenderungen nachzutragen, welche den im I. Band uns vorgeführten Stand der mitteleuropäischen Länder betroffen haben.",1
1167,1870,Gebrauchsliteratur,"Traut, Heinrich Theodor: Lehrbuch der Erdkunde enthaltend die Grundlehren der mathematischen, physikalischen und politischen Geographie sammt der Länder- und Staatenkunde aller fünf Erdtheile. Halle, 1870.",http://gei-digital.gei.de/viewer/image/PPN775877069/263,"1. Das Britische Reich oder England incl. die Nebeninseln enthält auf 5 7 6 2,35 Q.-M. 30,157,000 Einw., und besteht aus zwei großen und mehreren kleineren Inseln, die zwischen der Nordsee und dem Atlantischen Meere dem mitteleuropäischen Festlande gegenüber liegen.",1
1006,1871,Gebrauchsliteratur,"Zwitzers, August Ernst: Leitfaden für den geographischen Unterricht in Volks- und Bürgerschulen wie für die unteren Klassen der Gymnasien und Realschulen. Deutschland und die germanischen Nachbarländer; Lehrstufe 3, Abth. 2. Hannover, 1871.",http://gei-digital.gei.de/viewer/image/PPN733271456/23,(§. 24) von der mitteleuropäischen Zone gesagte.,1
370,1872,Gebrauchsliteratur,"Reuschle, Carl Gustav: Beschreibende Geographie; 4., gänzlich umgearb. Aufl. Stuttgart, 1872.",http://gei-digital.gei.de/viewer/image/PPN720570182/156,"-- Gesammtmenge der Deutschen auf der Erde überhaupt schätzungsweise über 60 Mill., wovon in Amerika 7, in Europa 53, und'von diesen europäischen Deutschen wieder in Mitteleuropa (dem deutschen Sprachgebiet) über 50, in Deutschland selbst 37 Mill.; der Rest in den übrigen mitteleuropäischen Ländern uud in den russischen Ostseeprovinzen (abgesehen von sonst zerstreuten Eolonien und von den europäischen Großstädten).",1
58,1875,Gebrauchsliteratur,"Jäger, Oskar: Abriss der neuesten Geschichte. Mainz, 1875.",http://gei-digital.gei.de/viewer/image/PPN62068349X/76,"Das Ministerium des Fürsten Schwarzenberg verfolgte den Plan, mit dem ganzen Ländercomplex Oesterreichs -- Italien, Ungarn, Galizien, Croatien etc. -- in den deutschen Bund (!) einzutreten, dadurch Deutschland zu entnationalisiren*' imd den Bund zu einem ""70 Millionenreich"", einem mitteleuropäischen Staatenverein zu machen.",1
66,1875,Gebrauchsliteratur,"Weber, Georg; Schröer, Tobias Gottfried: Oeser's Weltgeschichte für das weibliche Geschlecht. [Theil 3]; Theil 3; 7. Aufl. Leipzig, 1875.",http://gei-digital.gei.de/viewer/image/PPN622698230/278,"Der westphälische Frieden hatte Deutschland die lang entbehrte Ruhe gegeben, aber Land und Volk trugen allenthalben die Spuren des fürchterlichen Krieges, der eine so lange Zeit hindurch die mitteleuropäischen Länder verheert hatte.",1
1389,1875,Gebrauchsliteratur,"Berthelt, August; Jäkel, Julius; Petermann, Karl; Thomas, Louis: Lebensbilder. Lesebuch für höhere Bildungsanstalten; 4; 5., verb. u. verm. Aufl. Leipzig, 1875.",http://gei-digital.gei.de/viewer/image/PPN817037535/428,"Als Hauptursache dieser Unbeständigkeit und Unzuverlässigkeil der nord- und mitteleuropäischen Witterungsverhältniffe muß, außer der geographischen Lage, vor allen Dingen die große Mannigfaltigkeit der Oberflächengestaltung und das vielfache Ineinandergreifen von Land und Wasser bezeichnet werden.",1
290,1882,Gebrauchsliteratur,"Kirchhoff, Alfred: Schulgeographie. Halle a.S., 1882.",http://gei-digital.gei.de/viewer/image/PPN720528542/167,"Rheingebiet nebst dem Engadin Rätoromanen d. h. ein romanisierter Rest der uralten Räter, welche die Römer hier antrafen, als sie 15 v. Chr. die mitteleuropäischen Alpen sich unterwarfen.",1
1051,1890,Gebrauchsliteratur,"Meyer, Johannes: Lesebuch der Erdkunde für Schule und Haus. Bilder aus dem Deutschen Reiche; Bd. 3. Gotha, 1890.",http://gei-digital.gei.de/viewer/image/PPN735194238/262,"Die Vereinigten Staaten und Kanada importieren große Massen russischen nnd mitteleuropäischen Pelzwerkes, und umgekehrt sind Mitteleuropa und Rußland Hauptkäufer für amerikanische Rauchwaren.",1
256,1894,Gebrauchsliteratur,"Pieper, Max: Mathematische Erdkunde. Hildesheim, 1894.",http://gei-digital.gei.de/viewer/image/PPN720435749/19,"Darum ist seit dem 1. April 1893 für das deutsche Reich gesetzliche Bestimmung, dafs alle öffentlichen Uhren nicht die Zeit ihres eigenen Ortes angeben sollen, sondern die OrtszeitMes 15.Längegrades östlich von Greenwich, die sogen, ""mitteleuropäische Zeit"".",1
720,1896,Gebrauchsliteratur,"Gockisch, Paul; Seydlitz, Ernst von: E. v. Seydlitzsche Geographie. Europa (Oberstufe), Mathematische Erdkunde, Verkehrs- und Handelswege; H. 4 = Lehrstoff d. 2. u. 1. Kl. (8. u. 9. bezw. 10. Schulj.); in 4 H. auf Grund des neuen preuß. Lehrplans bearb. von Paul Gockisch. Breslau, 1896.",http://gei-digital.gei.de/viewer/image/PPN726185469/80,"Darum hat man im Deutschen Reiche, in Schweden, Dänemark, Luxemburg, der Schweiz, Österreich-Ungarn, Italien, Serbien und der w. Türkei die Ortszeit des 15. Mer. v. Gr. als mitteleuropäische Zeit eingeführt.",1
916,1897,Gebrauchsliteratur,"Tromnau, Adolf: Schulgeographie für höhere Mädchenschulen und Mittelschulen. [Teil 2 = Oberstufe]; Teil 2 = Oberstufe; 3. Aufl., im Anschluß an d. Normallehrplan in d. Bestimmungen über d. Mädchenschulwesen in Preußen vom 31. Mai 1894 bearb. Halle a.d.S., 1897.",http://gei-digital.gei.de/viewer/image/PPN729077985/14,"Vom 1. April 1893 ab gilt in ganz Deutschland die ""mitteleuropäische Zeit"", nach welcher alle Orte in Deutschland in demselben Augenblick dieselbe Zeit haben.",1
