HitNo,Date,Genre,Bibl,URL,Hit,Sentiment
6831,1726,Gebrauchsliteratur,"Weigel, Christoph: Gründliche Erzehlung der Merckwürdigsten Welt-Geschichten Aller Zeiten. Nürnberg, 1726.",http://gei-digital.gei.de/viewer/image/PPN774205865/235,Andere neue Ausleger sagen es wäre eine so grosse Anzahl einen von GOZd geschickten sehr heissen pestilentzialischen Wind der in dem Morgenlande n mn en worden.,1
6076,1741,Gebrauchsliteratur,"Schatz, Johann Jacob; Hübner, Johann; Wormßer, Johann Ludwig: Erste Anfangs-Gründe Der Geographie. Nürnberg, 1741.",http://gei-digital.gei.de/viewer/image/PPN746461216/91,"Zu viesen Spra ch en möchte auch noch die Hebrärsche, gls die Muttersprache von den meisten alten Morgenland scheu Sprachen, ja als die erste Sprache irr der gantzen Welt gerechnet werden: od sie gleich heut zu Tag nicht mehr geredet wird:",1
6080,1741,Gebrauchsliteratur,"Schatz, Johann Jacob; Hübner, Johann; Wormßer, Johann Ludwig: Erste Anfangs-Gründe Der Geographie. Nürnberg, 1741.",http://gei-digital.gei.de/viewer/image/PPN746461216/668,"i"" Asvod ( Azotus). oben zur Lincken im Eck , eine von den fünf Stadren der Philister, darinrr die Enacktm gewöhnet, wo der Abgott Dagon war, und wo Philippus den Kämmerer der Königin aus Morgenland taufst e. s. Tdimna oderThimnat , unter 2lsdod , wo sich Simson ein Weib auserschcn und den Löwen zerrissen hatte. llll""",1
6083,1753,Gebrauchsliteratur,"Hübner, Johann: Johann Huebners, J. U. L. Vollständige Geographie. Von Böhmen, Oesterreich, Bayern, Francken, Schwaben, Ober-Rhein, Nieder-Rhein, Westphalen, Nieder-Sachsen und Ober-Sachsen; Theil 3; Siebente und verbesserte Auflage. Leipzig], 1753.",http://gei-digital.gei.de/viewer/image/PPN746581866/638,"Ein Bündgen Heu, so den drey Weifen aus Morgenlande von ihrem Vleh.Futter übrig geblieben.",1
6074,1755,Gebrauchsliteratur,"Hager, Johann Georg: M. Johann Georg Hagers, Rect. zu Chemnitz, Kleine Geographie vor die Anfänger. Chemnitz, 1755.",http://gei-digital.gei.de/viewer/image/PPN746450257/736,"So wird es auch nur Levante, d.i. Morgenland, von den Schissern genen-",1
8153,1761,Gebrauchsliteratur,"[N. N.]: Berlinisches neu eingerichtetes Schulbuch. Welcher die Calligraphie, Orthographie, Epistolographie und die Rechenkunst enthält; Theil 2. Berlin, 1761.",http://gei-digital.gei.de/viewer/image/PPN790482703/341,". , die Morgen - Gegend, if* Morgenland. . ""taljsch f morgenlandisch, <w ' eecht und unverfalscht.",1
6081,1770,Gebrauchsliteratur,"Chrysander, Wilhelm Christian Justus: Vermehrtes Geographisches Handbüchlein für die zarte Jugend; Zweite Auflage. Mühlhausen, 1770.",http://gei-digital.gei.de/viewer/image/PPN746572069/115,"99 aus dem Mittelländischen Meere nach der Levame oder nach dem Morgenlande handeln/ zu uns gebracht, werden.",1
6071,1777,Gebrauchsliteratur,"Pfennig, Johann Christoph: Anleitung zur gründlichen und nützlichen Kenntniß der neuesten Erdbeschreibung, nach den brauchbarsten Landkarten, vornemlich zum Unterricht der Jugend verfertiget; Zweyte, durchgängig vermehrte und verbesserte Ausgabe. Stettin, 1777.",http://gei-digital.gei.de/viewer/image/PPN74644169X/269,"Die Halbinsel Arabien, fs in der heiligen Schrift, irr Absicht Egyptens, Morgenland heißt, von 3 Theilen, als: r.",1
6094,1786,Gebrauchsliteratur,"Hammerdörfer, Karl; Kosche, Christian Traugott: Europa. Asia; Bd. 3. Leipzig, 1786.",http://gei-digital.gei.de/viewer/image/PPN746591594/426,"Faristcm oder ehedem das Land Pars, ist dem Vorgeben der Morgenländer zufolge, von Fars, des Nafour Sohn, und Sems Enkel, also genennt worden.",1
6099,1786,Gebrauchsliteratur,"Hammerdörfer, Karl; Kosche, Christian Traugott: Europa. Asia; Bd. 3. Leipzig, 1786.",http://gei-digital.gei.de/viewer/image/PPN746591594/737,"Diese unnatürliche Gewalt ist, wie bekannt, bey den Morgenländern herrschend, und ihre fehlerhaften Begriffe ruhen kheilö in ihrer Religion, theils in ihren.Staatögefetzem Diesen zw fvlze",1
