HitNo,Date,Genre,Bibl,URL,Hit,Sentiment
1374,1830,Gebrauchsliteratur,"Berghaus, Heinrich: Lehrbuch der Erdbeschreibung. Die ersten Elemente der Erdbeschreibung; Bd. 1. Berlin, 1830.",http://gei-digital.gei.de/viewer/image/PPN776693344/145,"Westeuropa ungefähr 34000, Osteuropa 87200.",1
1300,1836,Gebrauchsliteratur,"Cannabich, Johann Günther Friedrich: Leitfaden zum methodischen Unterricht in der Geographie; 2., verb. u. verm. Aufl. Eisleben, 1836.",http://gei-digital.gei.de/viewer/image/PPN775872679/180,"168 III, Osteuropa. so daß das gesammts Russische Reich 374,000 QMeilen mit 59 Millionen Menschen in sich saßt.",1
1436,1839,Gebrauchsliteratur,"Meinicke, Carl Eduard: Lehrbuch der Geographie. Prenzlau, 1839.",http://gei-digital.gei.de/viewer/image/PPN789096358/15,569 bis 571. Tie Bewohner Osteuropas.,1
1415,1846,Gebrauchsliteratur,"Berthelt, August; Jäkel, Julius; Petermann, Karl: Handbuch für Schüler zum Gebrauche bei dem Unterrichte in den gemeinnützigen Kenntnissen. Dresden, 1846.",http://gei-digital.gei.de/viewer/image/PPN78031591X/94,"Einw.; Krakau 23 O.M., 115000 Einw.; Deutschland 11600 O.M., 35 Mill. Einw. 22. Osteuropa ungeheuere Ebene (Wolchonski-Wald oder Waldai).",1
1387,1847,Gebrauchsliteratur,"Varentin; Cannabich, Johann Günther Friedrich; Dieffenbach, Ernst; Sackreuter, Carl Ludwig; Schlez, Johann Ferdinand: Denkfreund; 18. Aufl. Giessen, 1847.",http://gei-digital.gei.de/viewer/image/PPN777226855/15,Die vereinigten Königreiche Schweden und Norwegen 314 v. Osteuropa.,1
1404,1849,Gebrauchsliteratur,"Stern, Wilhelm: Belehrendes Lese- und Unterrichtsbuch für badische Volksschulen; 2. Aufl. d. 1. Stufe, mit Zugaben als 2. u. letzte Stufe. Karlsruhe, 1849.",http://gei-digital.gei.de/viewer/image/PPN777870452/145,Mit Rücksicht auf die Bodengestalt zerfällt Europa in W e st- und Osteuropa.,1
1236,1851,Gebrauchsliteratur,"Kiepert, Heinrich: Historisch-geographischer Atlas der Alten Welt; 9., verb. Aufl. Weimar, 1851.",http://gei-digital.gei.de/viewer/image/PPN744749999/9,"Jahrh. v. Chr.; alle früher in Osteuropa und dem inneren Westasien unter den Namen von Skythen, Salten, Aor- 1",1
1241,1851,Gebrauchsliteratur,"Kiepert, Heinrich: Historisch-geographischer Atlas der Alten Welt; 9., verb. Aufl. Weimar, 1851.",http://gei-digital.gei.de/viewer/image/PPN744749999/52,"Alle diese Völker, östlich von den Sarmaten und der Rha, wurden von Griechen und Römern unter dem irrthümlich übertragenen Namen der Scythen zusammengelässt, seit mit dem Verfalle des Scythisehen Reichs in Osteuropa der scythische Name seine bestimmtere Bedeutung verloren hatte.",1
1360,1856,Gebrauchsliteratur,"Völter, Daniel: Lehrbuch der Geographie. Besonderer Theil; 2; 2., verm. und verb. Aufl. Eßlingen, 1856.",http://gei-digital.gei.de/viewer/image/PPN776590464/48,Die slavischen und noch mehr die übrigen Völker Osteuropas sind am weitesten zurückgeblieben.,1
1261,1859,Gebrauchsliteratur,"Völter, Daniel: Grundriß der Geographie; 2., verm. u. umgearb. Aufl. d. ""Elementargeographie"". Eßlingen, 1859.",http://gei-digital.gei.de/viewer/image/PPN775841838/110,94 Europa. und noch mehr die übrigen Bölker Osteuropa's sind am weitesten zurückgeblieben.,1
