HitNo,Date,Genre,Bibl,URL,Hit,Sentiment
97175,1745,Gebrauchsliteratur,"Schmauß, Johann Jacob: Joh. Jacob Schmaussens Einleitung zur allerneuesten Staats-Wissenschaft. Leipzig, 1745.",https://gei-digital.gei.de/viewer/image/PPN637245431/47,"84338 47 Das Reich ist in Stifter, und diese in Aemter eingetheilt denen Stists Amtleute und Bischöfe, sodann Amtleute und Hardes Vogte vorgesetzt sind *1 Unter den Nachbarn ist vor diesem Schweden am gefährlichsten gewesen; heut u Tage wer auch Rußland zu fürchten.",1
38526,1787,Gebrauchsliteratur,"Junker, Friedrich August: Kleines Schulbuch für Anfänger im Lesen und Denken; 2. Auflage, wobei eine Anleitung zum Unterrichte aus diesem Buche besonders zu haben. Magdeburg, 1787.",https://gei-digital.gei.de/viewer/image/PPN1770119183/81,"Wenn Gott allen bösen Rath und Willen bricht, und hindert, so uns den Namen Gottes nicht heiligen und fein Reich nicht kommen lassen wollen:",1
37248,1817,Gebrauchsliteratur,"[N. N.]: Lehrbuch der Europäischen Staatengeschichte. Geschichte Deutschlands und der drey Kaiserthümer; Abth. 2, [Schülerband]. Wien, 1817.",https://gei-digital.gei.de/viewer/image/PPN1736270125/34,"Allein sie erbitterten die Gemüther gegen einauder noch mehr, und als auf dein lezten Reichs tag e. z u Speyer der Schluß, der alle Religions-Neuerungen verboth, durchgeseßet wurde, protestirten die der Reformation geneigten Ständeg-gen diesen Schluß, und erhielten daher den Nahmch, Protestantcu.",1
37251,1817,Gebrauchsliteratur,"[N. N.]: Lehrbuch der Europäischen Staatengeschichte. Geschichte Deutschlands und der drey Kaiserthümer; Abth. 2, [Schülerband]. Wien, 1817.",https://gei-digital.gei.de/viewer/image/PPN1736270125/42,"Er verpand sich alsy mit einigen getreuen Ständen des Reiches, erklärte den Nei &lt; s k r i eg, und sendete den General M ontecuculi miteiner Armes an den Rhein.",1
37342,1819,Gebrauchsliteratur,"[N. N.]: Lehrbuch der Europäischen Staatengeschichte. Geschichte der Königreiche, Republiken; Abth. 3, [Schülerband]. Wien, 1819.",https://gei-digital.gei.de/viewer/image/PPN1736270311/71,In wenigen Tagen gehorchte ihm das ganze Reich.,1
37301,1819,Gebrauchsliteratur,"[N. N.]: Lehrbuch der Europäischen Staatengeschichte. Geschichte der Königreiche, Republiken; Abth. 3, [Schülerband]. Wien, 1819.",https://gei-digital.gei.de/viewer/image/PPN1736270311/15,"Denn die Preussen verloren gleich Anfangs bey ""Jena ein Haupttreffen, worauf der größte Theil des Kriegsheeres zerstreut und gefangen genommen wurde, mehrere Hauptfestungen: Magdeburg, Potsdam, Küstrin, Settin u. s. w. sich beynahe ohne aller Vertheidigung ergaben, und der König von Preussen bis in die äußersten Provinzen seines Reiches Ost- und Neuost "" Preussen sich zurückzuziehen gezwungen wurde.",1
37357,1819,Gebrauchsliteratur,"[N. N.]: Lehrbuch der Europäischen Staatengeschichte. Geschichte der Königreiche, Republiken; Abth. 3, [Schülerband]. Wien, 1819.",https://gei-digital.gei.de/viewer/image/PPN1736270311/99,"103% Als K onr ads Il. Stamm mit seinem Urenkel Heinrich V. ausstarb, wollte Gra f Reinhold von Chalo ns das alte unabhängige burgundische Reich wieder herstelen.",1
37383,1821,Gebrauchsliteratur,"[N. N.]: Lehrbuch der Europäischen Staatengeschichte. Die Geschichte des Österreichischen Erbkaiserthums; Abth. 1, [Schülerband]. Wien, 1821.",https://gei-digital.gei.de/viewer/image/PPN1736270516/69,"König von Frankreich das-1499 selbe wirklich mit Gewalt in Befit , allein seinem Nachfolger Franz 1. entriß es Kaiser Carl V. wieder, und übergab es nach dem Absterben des Sforzischen Stammes, als ein Lehen des dentschen Reiches seinem Sohne Vhilipp !1. nachmahligen Könige von Spanien; und bey Spanien blieb nun Mailand bis zur Zeit des S p ani s &lt; en Er b folg e-1706 krieges, da es die Raiserlichen, als ein Reichslehen, in Besit nahmen.",1
37476,1822,Gebrauchsliteratur,"[N. N.]: Lehrbuch der Europäischen Staatengeschichte. Geschichte Deutschlands, Frankreichs, Rußlands und der Türkey; Abth. 2, [Schülerband]. Wien, 1822.",https://gei-digital.gei.de/viewer/image/PPN1736270834/90,"Nach seinem Tode war ein höchst unglückliches Zwischenreich, weil die abgefallenen Kosaken das Reich schrecklich verwüsteten, Der neue König Joh ann Casimir, ein Bruder des vorigen mußte mit den Schweden den nachtheiligen Frieden zit Oliva schließen, und auf Liefland und Esthlqud Verzicht leiston; er st. 1370 kear",1
37428,1822,Gebrauchsliteratur,"[N. N.]: Lehrbuch der Europäischen Staatengeschichte. Geschichte Deutschlands, Frankreichs, Rußlands und der Türkey; Abth. 2, [Schülerband]. Wien, 1822.",https://gei-digital.gei.de/viewer/image/PPN1736270834/46,"Nun wurde der Reich sk ri eg erkläret, und die Reichsfeinde wurden an allen Puncten auf ihre Gränzen zurück geworfen , und. selbst Maynz wieder erobert.",1
