HitNo,Date,Genre,Bibl,URL,Hit,Sentiment
9356,1827,Gebrauchsliteratur,"Meineke, Wilhelm: Lehrbuch der Geographie; 2., umgearb. u. verm. Aufl. Erfurt, 1827.",https://gei-digital.gei.de/viewer/image/PPN776196227/723,"Man findet fast nur Producte, die der heißen Zone eigenrhümlich sind und tropische genannt werden.",1
9051,1828,Gebrauchsliteratur,"Brewer, Johann Paul: Anfangsgründe der Mathematischen Geographie für mittlere und obere Klassen der Gymnasien. Düsseldorf, 1828.",https://gei-digital.gei.de/viewer/image/PPN775923907/112,"Allein das wahre tropische Jahr ist 365 Tage 5 St. 48 M. 51, 6 S. also um 11 M. 9, 4 S. kurzer als das von Julius Cäsar angenommene.",1
9450,1829,Gebrauchsliteratur,"GutsMuths, Johann Christoph Friedrich: Kurzer Abriß der Erdbeschreibung als Leitfaden und Memorienbuch für Schulen; 3., durchaus verb. Aufl. Leipzig, 1829.",https://gei-digital.gei.de/viewer/image/PPN776551868/440,"Unten Tropisches, oben Sibirisches Land, unten Kakao, Vanille, Jalappa, Piment, Tabak ic. oben selbst die Tanne nicht mehr. 12) Tlaxcala, an und auf den Andes mit Schneegipfeln.",1
9453,1829,Gebrauchsliteratur,"GutsMuths, Johann Christoph Friedrich: Kurzer Abriß der Erdbeschreibung als Leitfaden und Memorienbuch für Schulen; 3., durchaus verb. Aufl. Leipzig, 1829.",https://gei-digital.gei.de/viewer/image/PPN776551868/449,"-- Tropisches und ungesundes Klima wie in Jamaika, und Erdbeben ebenfasts.",1
10147,1830,Gebrauchsliteratur,"Ammon, Franz: Lehrbuch der mathematischen und physikalischen Erdbeschreibung. Die physikalische Erdbeschreibung; Theil 2. Augsburg, 1830.",https://gei-digital.gei.de/viewer/image/PPN789066432/146,"Resdiwesky erklärt die schädlichen Eigenschaften dieses Windes aus den im Innern von Afrika durch die tropischen Regen gebildeten, und durch die Sonnenhitze in Fäulniß übergehenden Sümpfen, indem heftige Südwestwinde die über diesen Sümpfen ruhende verpestete Lust nach Arabien und Syrien.führen. §. 135. Nutzer: der Winde.",1
10215,1832,Gebrauchsliteratur,"Roon, Albrecht von; Ritter, Carl: Grundzüge der Erd-, Völker- und Staatenkunde. [1. Abth.]; [1. Abth.]. Berlin, 1832.",https://gei-digital.gei.de/viewer/image/PPN789082551/307,"Setzen wir alle tropischen Landflächen der Erde -- 1, so kommen auf Asien nur 0,111 (auf Amerika kamen 0,301, auf Afrika 0,461, auf Neu-Holland und die ihm nord- und ostwärts vorliegenden Inseln 0,12-1), also ein Antheil, welcher keinesweges der Kontinentalausdehnung des Erdtheils, die ein Drittel alles Landes ausmacht, entspricht.",1
8727,1832,Gebrauchsliteratur,"Raumer, Karl von: Lehrbuch der allgemeinen Geographie. Leipzig, 1832.",https://gei-digital.gei.de/viewer/image/PPN775847089/94,"Dieser Zeitraum heißt ein siderisches Jahr und ist um 20' 20"" langer als das tropische.",1
8651,1832,Gebrauchsliteratur,"Volger, Wilhelm Friedrich: Lehrbuch der Geographie. Vergleichende Darstellung der alten, mittleren und neuen Geographie; Cursus 3. Hannover, 1832.",https://gei-digital.gei.de/viewer/image/PPN775843962/284,"Gemeinschaftlicher Abfluß derselben der Lorenzstrom. §* 462. Klima: in S. völlig tropisch, in N. lange strenge Winter; Milderung durch Anbau; mildere Luft im Mittellande als im Ostlande; südlich vom 330 an der Ostküste kein Schnee mehr.",1
10203,1832,Gebrauchsliteratur,"Roon, Albrecht von; Ritter, Carl: Grundzüge der Erd-, Völker- und Staatenkunde. [1. Abth.]; [1. Abth.]. Berlin, 1832.",https://gei-digital.gei.de/viewer/image/PPN789082551/138,So wird ein Schwarzer selbst unter dem Pol nicht gebleicht und ein Weißer unter der tropischen Sonne nie schwarz.,1
8645,1832,Gebrauchsliteratur,"Volger, Wilhelm Friedrich: Lehrbuch der Geographie. Schulgeographie für die mittleren Klassen der Gymnasien, für Bürger-, Real- und Töchterschulen; Cursus 2; 2., verb. Aufl. Hannover, 1832.",https://gei-digital.gei.de/viewer/image/PPN775843539/232,"Gemeinschaftlicher Abfluß aller dieser Seen der Lorenzfluß. §. 550. Klima: in S. völlig tropisch, in N. lange strenge Winter; Milderung durch Anbau; mildere Luft im Mittellande als im Ostlande; südlich vom 38° an der Ostküste kein Schnee mehr.",1
